Result,Sentence
1.4252258928593164e-08,"

我身為認真在科技二哥工作的資深rd整合工程獅，

上班日都提早一小時進辦公室是原則，

每天除了追館椅大戰看粉絲互譙，

例行公事是邊吃腹瀉早餐邊配工商時報、經濟日報follow業界最近在吵什麼，

最近政客、集團大佬都爭鋒搶蹭ai議題，連郭董都忙著跟chatgpt小哥吃燭光晚餐，
看


今早逛工時智慧機械版看到一則ai的概念公司，經營的項目內容都是台灣科技業、台股熱炒的趨勢重點，就想跟大家討論這些台灣經濟命脈底氣的硬體代工大廠搶著跟ai人工智慧要有搞頭，到底能怎麼搞？還是就打高空能打多久是多久？？？
新聞連結：




在、與三大領域對ai晶片的需求將持續增加，艾創科技進而不斷提升晶片運算能力、技術架構以滿足此三大領域需求，以立足於千億級別的市場規模，並預計於2024年申請興櫃。

智慧化的浪潮下，物聯網設備不斷擴增，例如、、、
、等，加上、、、等技術在各領域深化應用催化ai晶片與技術市場迅速成長，預期2024年全球ai晶片市場規模將達到390億美元，成長率18.2％，艾創為台灣影像晶片技術專家，可望大幅受惠。憑藉優秀的技術能力陸續吸引如國內監控大廠奇偶科技，也取得阿里巴巴集團的青睞，。




1. ai在科技業炒了這麼多年，結果全球聲名大噪的民生應用是，像我們台灣當家的這種ic晶圓半導體產業的上市櫃集團， (不要叫我問自家主管，你們難道不知道位子坐越高講話就越像chatgpt版的侯友宜嗎)

2. 相對於ai比較有關連性、前瞻性的就屬特斯拉帶動的，車子缺晶片荒供不應求眾所皆知，

3. 我就覺得俗稱的ai概念股公司，這些所概念的電子零件、晶片、材料，在末端應用真的跟ai人工智慧有關嗎？



--
"
0.0025299379805254762,"
google ai搜尋「magi」美國搶先試用 拚場chatgpt、bing



記者樓菀玲／綜合報導

不讓 chatgpt、bing 專美於前，預計接
下來會在秋季將帶來更多功能，不過可惜的是這項新功能將僅在美國提供，且最初只會向
最多 100 萬用戶推出。

根據《紐約時報》報導內容指出，目前尚不清楚這些搜尋工具將提供哪些功能，但它們可
能會在 google 實驗性的 bard 聊天機器人當中，並以此作為基礎來擴大支援，


目前已知這項計劃是 google 為了應對來自 microsoft 的 bing 聊天機器人，以及 open
ai 的 chatgpt 等新系統所推出的新產品，現在有許多人認為這些聊天機器人有朝一日可
能取代像 google 這樣的傳統搜尋引擎，為人類的未來擴張更多可能性。

據《紐約時報》報導，
目前尚不清楚三星是否真的在認真考慮這
一改變，但確實許多公司在這幾個月時間確實感受到了微軟 ai 改變與進化，讓 google 
不得不加快推出相對應產品的腳步。

原文網址: 





-----
sent from meowptt on my iphone


--
"
0.0,"


馬斯克宣布推「truthgpt」劍指openai

工商時報呂佳恩、陳怡均 2023.04.18


馬斯克宣布將推出名為「truthgpt」的ai平台。圖／美聯社

馬斯克宣布推「truthgpt」劍指openai

chatgpt在全球爆紅後引發熱議，曾參與創辦openai的馬斯克（elon musk）早前批評ai進
程過快、恐危及社會，他於17日接受採訪時宣布，將推出名為「truthgpt」的ai平台，作
為對chatgpt的挑戰。

馬斯克在接受《福斯新聞》（fox news）的主持人卡爾森（tucker carlson）訪問時表示
，創立一個名為「truthgpt」的平台，將會是一個「在最大程度上試圖追求真相，並試圖
理解宇宙本質的ai」。

馬斯克與openai現任執行長奧特曼（am altman）等人於2015年共同創立openai，不過他
在2018年從董事會卸任，媒體稱是因為特斯拉深入研究自動駕駛的ai技術，使其與openai
出現利益衝突。

在chatgpt爆紅後，馬斯克曾於今年2月發文批評openai已和他創建時的初衷背道而馳，他
最初要創辦的是一家開源的非營利性公司，旨在抗衡google，不過openai目前變成一家閉
源的營利性公司，馬斯克更直言，該公司已被微軟控制。

馬斯克於3月時聯合若干科技界人士聯合簽署公開信，呼籲暫停訓練比gpt-4 更強大的大
型語言模型，稱其對社會和人類構成潛在風險。不過，《華爾街日報》早前報導指出，馬
斯克於今年3月9日成立了名為的「x.ai」公司，專門開發人工智慧，據傳馬斯克大手筆向
輝達（nvidia）採購了一萬張a100 gpu，並從alphabet旗下的ai公司deepmind挖角工程師
。

馬斯克在訪問中提到，之所以欲推出truthgpt乃是因為這有望成為實現安全的最佳途徑，
他認為，人類是宇宙中有趣的一部分，因此一個有意了解宇宙的ai不可能毀滅人類，不過
馬斯克也重申有關於ai的警告，他強調，ai比管理不善的飛機設計或是不良生產的汽車更
加危險，因為其有可能破壞文明，且此種可能性並非微不足道。

（工商時報 呂佳恩）

馬斯克宣布將推truthgpt 批對手「訓練ai說謊」

億萬富豪馬斯克周一（17日）表示，他將推出名為「truthgpt」的人工智慧（ai）平台，
挑戰微軟、谷歌的ai產品。

他批評打造聊天機器人chatgpt、由微軟投資的openai公司「訓練ai說謊」，稱openai如
今已成為一家「封閉來源」、與微軟密切結盟的「營利」組織。

馬斯克另也批評谷歌共同創辦人佩吉（larry page）並未認真看待ai安全問題。

他說，「我即將要展開名為『truthgpt』的ai產品，此平台將追求最大程度的真實並且試
圖了解宇宙的本質」，並提到truthgpt不太可能毀滅人類，「可能是通往安全的最佳途徑
」，強調雖然起步晚，但他將會創造第三個選擇。

（工商時報 陳怡均）

馬斯克 openai chatgpt

--
佛教經典的
是  是菩薩成佛之道
         是 佛經
  是 佛        是 菩薩



--
"
0.0,"

2023年4月14日12︰39
文｜曹以斌
受惠ai伺服器大爆發 鴻海集團搶進太空運算

chatgpt熱潮席捲全球，提供ai算力的各大伺服器業者也跟著受惠，本就是全球最大伺服
器生產商的鴻海集團，旗下在上海掛牌的工業富聯更是大豐收。不僅取得google與微軟等
大客戶的ai伺服器訂單外，現在更進一步切入太空運算（spacecomputing）應用。「隨著
ai應用大量普及，邊緣運算伺服器也會上太空，目前已經有2個客戶正在洽談，預估未來
18到24個月就會發酵。」知情人士對本刊說。

隸屬於鴻海集團旗下，在上海上市的子公司工業富聯，去年營收首次突破人民幣5000億元
，達到5118.5億元（約新台幣2.2兆元），比2021年的4395.57億元成長16.4％，關鍵3大
營收來源，分別為金屬中框、伺服器和網路通訊產品。

其中，靠著雲端伺服器業務的大幅增長，就已經達到人民幣2124.44億元（約新台幣9450
億元），今年靠著ai伺服器話題，更讓工業富聯前景可期，也難怪從今年初以來，股價就
從每股9塊多人民幣一路飆漲，日前更漲到人民幣19元，幾乎翻倍。

對於今年的伺服器的業績展望，工業富聯則更為看好，知情人士對本刊透露。「chatgpt
帶動人工智慧伺服器需求大增，不僅讓nvidia的繪圖晶片（gpu）人人搶，隨著各大雲端
業者投入算力競賽，讓原本以為會受到景氣反轉影響的伺服器業績逆勢看漲，預期今年ai
伺服器業務，將占整體伺服器營收的3成。」

據了解，工業富聯目前切入的chatgpt應用，在高效ai伺服器部分，工業富聯與美系繪圖
處理器大廠輝達（nvidia）合作推出平台，另外，全資子公司鴻佰科技（ingrasys
technology）則深耕模組化伺服器，同時工業富聯也布局伺服器機櫃到資料中心整合，擴
及ai伺服器全產業鏈。

為了配合鴻海集團發展低軌衛星業務，工業富聯也組成設計團隊，正在打造可以上太空的
微型伺服器。「以後不管是海底的（海底電纜），地上跑的（電動車）到天空飛的（低軌
衛星資料中心），鴻海都要全包。」該人士笑著說。

據了解，鴻海集團除了積極擴張車用電腦市場之外，也希望新的微型伺服器技術導入低軌
衛星中。「隨著chatgpt的大流行，光靠地上的邊緣伺服器已經不夠，最好能結合低軌衛
星內建微型伺服器，提供用戶更及時、快速的ai服務。」

目前工業富聯以把太空運算的研發團隊集中在臺灣，規模超過300人，預期18至24個月後
將推出太空運算伺服器，因應太空微型資料中心應用趨勢。

另外，工業富聯也積極布局雲端遊戲（cloudgaming）應用，預估今年底開始相關業績爆
發。「今年3月內建48核心gpu的雲端遊戲伺服器亮相，就是由工業富聯製造，主要研發基
地在美國和台灣兩地。」該人士透露。

日前鴻海董事長劉揚偉曾表示，ai伺服器近期因為chatgpt的關係，大家都有明顯感受到
「需求相當強」。他也透露，鴻海2022年伺服器營收約近兆元（指工業富聯），當中的ai
伺服器約占20％，營收規模超過2000億元，今年在chatgpt爆紅之下，雲端服務供應商（
csp）與ai伺服器需求強勁，對算力需求龐大，鴻海一定會受惠，更多客戶選擇了鴻海，
使得市占率不斷擴大。

--
"
4.848860868378324e-09,"


生成式ai火併 馬斯克參戰

提要

創立新公司「x.ai」 要與chatgpt開發商競爭 旗下spacex取得星艦發射許可


億萬富豪馬斯克傳出正在著手成立人工智慧（ai）新創公司，將與聊天機器人chatgpt開
發商openai競爭（路透）

本文共903字

2023/04/16 01:29:12

經濟日報 編譯陳苓／綜合外電

生成式人工智慧（ai）正夯，特斯拉執行長馬斯克也投入此一領域。美國州政府文件顯示
，他在內華達州創立了新的人工智慧公司「x.ai」，可能是要研發超級應用程式，與
chatgpt開發商openai競爭。另外，他旗下的太空公司spacex終於取得「星艦」（
starship）的發射許可。

英國金融時報指出，知情人士披露，馬斯克正在籌組ai研究人員與工程師團隊，也與
spacex和特斯拉的一些投資人商議將資金投注在他的新創事業投資上。

馬斯克的ai公司可能會用推特內容當作訓練語言模型的數據，並使用特斯拉的運算資源。

根據內華達州的企業紀錄，馬斯克3月9日成立一家名為x.ai的公司。他是公司唯一董事，
家族辦公室主管柏查爾（jared birchall）則出任秘書。

此外，馬斯克已向輝達（nvidia）採購數千個高性能繪圖處理器（gpu），這是能提供ai
與高階繪圖等密集型任務所需運算能力的系統。

華爾街日報報導，馬斯克一直想開發名為「x」的萬能應用程式，新公司採用相同名字，
暗示兩者有所關連，ai或許是他打造萬能應用程式的一環。

據悉馬斯克為實現ai宏圖，過去幾個月招兵買馬，想創立能與openai抗衡的對手。openai
去年11月發布chatgpt引發轟動，點燃投資人對該領域的狂熱。馬斯克已從字母公司（
alphabet）旗下的ai實驗室deepmind挖來科學家巴布斯金（igor babuschkin），主掌新
項目發展。

馬斯克2015年協助成立openai，並和openai現任執行長奧特曼（sam altman）共同擔任董
事長。當時openai旨在以「最能夠造福全人類的方式推展數位智慧，不受創造經濟報酬的
限制。」

馬斯克2018年離開董事會後，便對該公司批評不斷。他憂慮openai用訓練喚醒ai，且指控
該公司「實際上由微軟掌控」，3月才與研究者、科技領袖聯名呼籲，暫停訓練強大的ai
模型六個月。

另一方面，美國聯邦航空總署（faa）14日核准spacex在德州博卡奇卡（boca chica）發
射星艦，意味這家公司送人上月球甚至火星的計畫，締造了新里程碑。spacex宣布，星艦
預定於最早當地時間17日早上7時升空。

ai 馬斯克 spacex

--
佛教經典的
是  是菩薩成佛之道
         是 佛經
  是 佛        是 菩薩



--
"
0.1372279165535446,"
這個哈佛大學教授的認知，怎麼跟我完全不同啊

chatgpt寫的code，如果能用

那講真的，大學、研所的學生都不用自己寫作業了啦

我曾想用chatgpt做些簡單的電路，

可是它連最基本的decoder_6to64bits都不會

產出來的code大部分是錯的

唯一正確的code是用64個out對應6個in的case去寫的，sythesis的結果，

很明顯就是64個flip-flops，這個電路結構是傻到一個不行

所謂「寫程式的工作完全交給ai」這件事，仍言之過早

chatgpt沒有人類一般的認知邏輯的能力、分析能力是有，但還很弱

要完全取代人類，包括一些需高度邏輯判斷和debug的工作，幾乎是不可能

它有基本debug的能力，但還不到能非常精確地處理完整code的程度。

或許，未來幾十年後，是有可能比人類的邏輯更強大。不過現在，是言之過早了。



--
"
0.0,"
前google工程師主管：人類「寫程式」時代已經結束，讓chatgpt或copilot這類的ai去做吧
！



曾是google以及apple的工程師主管、哈佛大學電腦科學的前教授麥特·威爾許 (matt welsh
)在芝加哥電腦協會（acm）上發表演講，認為chatgpi和github copilot代表了「寫程式」
這件事的終結。

麥特認為，寫程式即將由機器人所取代，包括chatgpt和copilot等技術。他認為，程式設計
師將需要進化成為ai應用程式的「老師」——或許是產品經理或程式碼審查員，這兩種人類
角色相對來說比較安全。但他說，未來的程式設計師，不要指望繼續從事實際的寫程式工作
，因為機器正在接管這個角色。不過人類也不用太難過「反正寫程式這件事本身就很無聊」
。

麥特曾在google和蘋果擔任程式設計主管職位，他在acm雜誌的2023年1月版上發表了一篇關
於這個主題的文章。然而，直到這次acm的演講之前，人們才明確地意識到，麥特創立了一
家初創企業來證明他的理論。

他現在是fixie.ai的ceo，這是一個自稱為「大型語言模型自動化平台」的企業。它旨在使
用chatgpt和類似的機器學習程序幫助企業編寫客製化軟體。


麥特在演講開始時聲稱，「電腦科學已經完了」。

「我認為這個領域將發生徹底的變革，」他解釋說，「如果你想想什麼是電腦科學這門學科
呢？它一直以來都只是關於一件事情，那就是將想法轉化為程式。」

他接著說，寫程式在過去60多年中已經發展成為一種讓人類更容易理解程式碼的方式。他將
1957年的fortran與1964年的basic以及2010年的rust作了比較，但他說，就人類程式設計工
程師來說，這三者在易用性方面沒有太大差別。

「人們今天正在開發的程式和以往一樣複雜，同樣難以維護，同樣難以理解，同樣充滿了錯
誤，」他聲稱。

github copilot讓麥特徹底重新評估了電腦科學的意義。「copilot徹底改變了我們編寫程
式的方式，」他說，「至少在我的個人經驗中，它是一種非常非常好的方式，可以加速我的
發展。」

他認為，copilot已經是一個令人難以置信的產品。他說，「當我打字時，copilot很好地完
成了我的思維，它讀取我的思維比我想象的更多。」他補充說，copilot「是一種極好的生
產力提升，因為它讓我免於上下文切換。」

儘管如此，認為copilot的當前版本「只是開始」。他說，只有兩件事情缺乏會阻礙copilot
變得更好：更多的數據和更多的運算。由於這兩者資源目前都很豐富，他認為，「copilot
在一年、兩年或三年內可能就會達到這樣的程度：未來很有可能你在文件的頂部輸入幾行，
它就寫了剩下的內容」。


對未來軟體開發團隊結構的變化做出了一些有趣的預測。他認為，一旦程式設計師被淘汰，
人類只能擔任幾種角色：產品經理和程式碼審查員。

他說，產品經理的角色不會有太大的變化。

「想象一下，一個人類產品經理仍然需要編寫 prds（產品需求文件），如果你願意的話—
—這就是產品經理已經在做的事情，對吧？」

但在不久的將來，他說產品經理不再需要將prd交給工程團隊，等待他們六周左右把東西生
出來。「你只需要把prd交給ai，ai在幾秒鐘內就能產生程式碼。」

當然，生成ai的早期教訓之一是，這些ai的輸出不一定是正確的。因此，他認為在一個沒有
程式設計師員的未來，將會出現人類程式審查員的角色。

「我們如何知道程式碼是否有效？我們如何知道它是好的？它是否正確？當然，我們需要進
行徹底的測試，測試非常重要——這不會消失。所有的ci/cd都是有用的。」

他認為，具有程式設計能力的人類將被賦予「審查和閱讀ai生成的程式碼，確保它有效，並
且正在做正確的事情」的任務。

對於程式設計師和即將加入這個領域的人來說，他們需要成為ai的教師，而不是寫程式的那
個人。「一切都是關於教ai，而不是編寫電腦程式，」他說。


在這次演講中，很明顯麥特有動機讓傳統程式設計師變得過時，因為他新創的公司fixie就
是建立在利用ai寫程式的這個基礎上。不過，這也說明了他對自己的想法多有信心，才會決
定要跳下來做。

尤其考慮到他本身就是前哈佛電腦科學的教授，以及長期在業界的程式設計生涯，你也必須
認真對待他的預測，畢竟他本身就是一位對程式設計有著深刻理解的專家，他認為ai已經接
近掌握這一技能，那麼就有相當的參考價值。

「使用fixie，你可以提供你想要做的事情的描述，fixie會使用一組大型語言模型加上可以
連接到外部系統的代理，為你產生一個結果——無論是對問題的回答，還是呼叫api，或調
用工具，或在資料庫中進行更改。這些都是這些模型可以做的事情。關鍵是，我們不是通過
編寫大量程式碼來做到這一點，而是通過教ai模型如何做到這一點。」

此外，身為一個幾乎大半輩子都在寫程式的專家，他表示「寫程式這件事本身無聊」所以讓
機器人去做吧。

「花時間做其他對你而言更有用的事情，」他建議，「對每個人來說，自己動手寫電腦程式
並不是最好的利用時間的方式。」

對於當前還從事程式設計工作的人來說，他的這番話還有待商榷。但是這至少也是一部份未
來將會發生的情形，因為chatgpt的程式理解能力真的很強，因此我們人類可能必須要適應
這個未來。

以下是他在芝加哥acm上的完整演講內容：



--
"
6.828348109166882e-08,"


「文心一言」出現山寨app 百度提告蘋果

09:04 2023/04/09 工商 楊晴安

目前各大應用商店，尤其是蘋果app store上出現「文心一言」山寨app，百度ai官方微信
公眾號指出，目前文心一言沒有任何官方app，在公司官宣前，凡是在app store和各種應
用商店看到的「文心一言」app都是假的，凡是聲稱有「文心一言源代碼」的都是騙子。

自從ai聊天機器人chatgpt爆紅之後，阿里巴巴、京東和百度等大陸互聯網企業相繼積極
跟進，其中，百度率先公布「文心一言」，成為大陸第一個類似產品。

百度強調，文心一言目前還在測試階段，並沒有面向所有用戶開放，需要申請並通過官方
審核才能使用。公司同時表示，已向北京市海淀區人民法院對蘋果公司及相關開發者團隊
發起訴訟。

#文心 #百度 #app #出現 #蘋果

--
佛教經典的
是  是菩薩成佛之道
         是 佛經
  是 佛        是 菩薩



--
"
0.0,"


阿里版chatgpt 通義千問主打中文寫詩

04:10 2023/04/08 工商時報 楊日興

各網企接連推出自家版本的類chatgpt服務，繼百度的「文心一言」後，阿里巴巴7日宣布
其大模型「通義千問」開始邀請用戶封測，主打中文寫詩、甚至寫情書的文本生成。

阿里雲7日宣布，自研大模型「通義千問」開始定向邀請企業用戶進行封閉測試體驗。阿
里巴巴表示，達摩院在nlp自然語言處理等領域有多年布局，2019年時著手研發大模型，
2021年發表包括多模態大模型「通義-m6」與中文語言模型plug。

21世紀經濟報導引述業界人士體驗後表示，通義千問有細分作文、寫詩等功能，定位更像
ai改進工作效率的助理。報導表示，目前通義千問僅限於文字交互的單模態，沒有圖文轉
換，阿里今年目標是把該產品成功商用。

報導指出，通義千問的界面上有諸多建議指令，包括「寫一段電影腳本，講一個北漂草根
創業逆襲的故事」、「團隊開發了一個對話機器人，給老闆寫郵件介紹」等，功能包括寫
swot分析等效率類、寫作文等生活類、寫情書或誇張奉承文章的娛樂類。

具體問題上，紅星新聞指出，當詢問通義千問與文心一言誰厲害時，通義千問回應，每個
模型都有各自優缺點，不會比較模型之間的優劣。讓通義千問給成都火鍋寫首詩歌，通義
千問生成：「火鍋成都，熱情似火。紅油翻滾，沸騰如潮。空氣中瀰漫著麻辣的香氣…」
。

報導指出，詢問通義千問玉皇大帝住在對流層還是平流層，通義千問指出，玉皇大帝是神
話非現實世界科學認知，與平流層等聯繫不合適。

不僅阿里，大陸其他科技企業也近期都醞釀發表自家大模型，以圖像辨識著名的商湯科技
7日向媒體寄出邀請函，表示將在10日舉辦技術交流日活動，並分享ai技術的進展，市場
看好商湯將在當日推出與ai交互生成相關的新產品。

#功能 #生成 #中文 #寫詩 #主打

--
佛教經典的
是  是菩薩成佛之道
         是 佛經
  是 佛        是 菩薩



--
"
5.160316618457728e-13,"


生成式ai將掀產業轉型革命

04:10 2023/04/02 工商時報 何英煒

看好生成式ai人工智慧模型chatgpt已成主流應用，資訊服務商均積極導入。其中，凌群
、叡揚布局對話式服務為主；精誠、邁達特、伊雲谷因代理微軟公有雲azure，未來會提
供相關ai解決方案給企業客戶。業者指出，這波ai的力量，有機會顛覆台灣產業轉型的腳
步。

凌群電腦將chatgpt導入服務型智慧機器人ayuda，ayuda原本採用google系統，後改採微
軟chatgpt系統，該智慧型機器人已可以做導覽、量測體溫等服務型工作，未來可以依據
輸入的指令，自動生成會議通知或撰寫郵件等。

凌群表示，有不少金融業的客戶表達興趣，但目前智慧型機器人僅在系統整合階段，要大
批量產還需一段時間。

另一家資服廠商叡揚資訊則耕耘聊天機器人（chatbot）多年，客戶有金融業、半導體及
大型醫學中心。在chatbot的基礎上，再增加chatgpt的功能，目前以專案方式進行，以科
技業和製造業客戶較有興趣。至於金融產業客戶及醫療院所客戶因輸出的答案不能出錯，
對於是否導入生成式ai應用，目前持觀望態度。

而代理微軟公有雲azure的資服廠商如精誠、邁達特及伊雲谷均表示，由於azure積極與
open ai的生成式ai模式整合，microsoft 365引入copilot ai，可以感受到市場熱度。這
三家代理商均表示，接下來會積極協助客戶導入生成式ai模型。

其中，精誠旗下的精誠軟體服務是台灣微軟最大的雲端服務提供商，市占三成，未來微軟
發展ai過程中，雙方將緊密合作。另一方面也與客戶開拓新的雲端應用場景。

去年代理微軟服務的邁達特則指出，微軟整合生成式ai，未來將構建出各種前所未有的創
新應用和業務場景，將大幅帶動運算、儲存、數據分析、上雲等需求，而邁達特在這些業
務擁有豐富的導入經驗。另一方面，chatgpt熱潮將帶動聊天機器人的需求增溫，邁達特
未來將攜手佳世達集團旗下德鴻科技的智能客服，為產業ai應用場景提供相關服務。

看好生成式ai的前景，伊雲谷也積極與微軟合作，舉辦chatgpt的相關論壇，其中金融產
業及電子商務客戶均反應熱烈，報名參與的人數是其他技術論壇的一倍。

#生成 #達特 #服務 #微軟 #導入

--
佛教經典的
是  是菩薩成佛之道
         是 佛經
  是 佛        是 菩薩



--
"
