Result,Sentence,label
"{'words': 779, 'sentences': 44, 'pos': 20, 'neg': 8}","
chatgpt加速ai晶片運算 美台握關鍵、卡中國脖子

2023-02-27 09:21迌丰〞? 記者鍾榮峰台北27日電

聊天機器人chatgpt掀起人工智慧熱潮，半導體晶片運算能力成關鍵，美商和台廠主導高
階晶片供應鏈，儘管中國有意布局，但美國管制半導體出口，加上掌握電子設計自動化（
eda）軟體工具，使得中國發展人工智慧生成內容（aigc）應用，面臨「卡脖子」窘境。

聊天機器人chatgpt掀起人工智慧生成內容（aigc）熱潮，chatgpt是獲微軟（microsoft
）投資的舊金山公司openai所研發的聊天機器人，可依照輸入關鍵字自動生成散文、詩歌
甚至論文。

亞系外資法人分析，chatgpt能智慧化整合訊息，並透過連續對話相關話題，進行二次檢
索與處理，有機會替代目前的搜尋引擎模式，未來成為資訊檢索的主流方式。

人工智慧生成內容軟體應用掀起熱潮，法人指出，aigc應用包括人工智慧伺服器、aigc軟
體升級及反覆運算，需要高階且強大運算能力的半導體晶片支持，依賴晶片運算能力快速
提升，相關需求帶動包括繪圖處理器（gpu）甚至通用繪圖處理器（gpgpu）、中央處理器
（cpu）、特殊應用晶片（asic）、可編程連邏輯閘陣列（fpga）等性能和需求。

觀察aigc應用晶片供應鏈，法人分析，美商輝達（nvidia）掌握設計高階gpu運算能力技
術、台灣晶圓代工龍頭台積電代工，台積電的n3e製程擴展3奈米相關製程，預計今年下半
年量產，是gpu晶片效能提升的關鍵。

此外，超微（amd）今年也已針對ai基礎設施以及資料中心公布加速處理器（apu），後者
整合gpu、cpu和記憶體，採用3d小晶片設計（chiplet），市場也傳出超微向台積電下ai
晶片急單。

在矽智財（ip）部分，本土投顧法人指出，包括創意、世芯-ky、晶心科等台灣廠商，可
望搭上chatgpt順風車。

面對aigc應用熱潮，中國積極布局，科技部日前宣布把人工智慧作為戰略性新興產業、新
成長引擎，大力支持。中國網路商百度也有意在3月推出類似服務「文心一言」，包括科
大訊飛、奇虎360、騰訊優圖等急起直追。此外，包括景嘉微、寒武紀科技、海光信息、
天數智芯、龍芯中科等中國本土晶片設計商，有意提升繪圖處理器和中央處理器的運算能
力。

不過法人分析，美國商務部去年10月上旬一系列晶片出口管制措施，擴大對中國晶片及設
備出口限制，衝擊中國發展人工智慧和高效能運算（hpc）晶片，使得中國在布局aigc應
用時，已面臨高階運算晶片被「掐脖子」的困境。

此外，在半導體高階晶片設計與先進製程具有關鍵地位的電子設計自動化（eda）軟體工
具，攸關fpga晶片設計和高階晶圓生產製造，aigc軟體應用所需的高階人工智慧晶片運算
能力，更凸顯eda軟體工具的重要性。

產業人士指出，eda工具應用在ic設計、晶圓製造、晶片封測等重要環節，是半導體晶片
高階製程的關鍵軟體工具，前3大eda廠商市占率高達78%，且均是美系企業，中國力拚eda
工具自主化，但在高階先進晶片設計仍有巨大差距，對中國發展aigc應用阻礙大。



話說nvidia真的有夠猛的...但最終還是要跟gg下單...

gg是ai的剛需，遲早要買的！何不現在就買呢…

--
",pos
"{'words': 795, 'sentences': 51, 'pos': 12, 'neg': 1}","
原文標題：

chatgpt爆紅拱創意登千金股 下波受惠股還月這些？

原文連結：



發布時間：

2023年2月20日 週一 上午10:36

記者署名：

編輯：沈培華

原文內容：

chatgpt爆紅！ai概念，矽智財（ip）題材持續聚焦，多頭領頭羊創意（3443）今早股價
再創下1020元新高，帶動矽智財（ip）族群股價續強，實際上，ai浪潮下，資訊服務、高
階3d封裝及晶圓測試產業等相關可能潛在受惠股也不少。

微軟轉投資openai聊天機器人「chatgpt」暴紅，ai概念股人氣高，矽智財（ip）族群再
度成為鎂光燈焦點。創意突破千元大關，世芯-ky（3661）也續強，伺機再攻千元大關。

面對如浪潮襲來的ai需求，法人指出，台廠以硬體優勢為主，因此半導體廠商是主要受惠
族群，預料包括台積電（2330）還是主要受惠廠，另外ip、封測廠也會受惠，至於軟體部
分，能受惠廠商就相對有限了。

外資券商摩根士丹利（morgan stanley）選出20檔ai股票未來12個月上漲潛力強大，其中
唯一的一家台廠就是台積電，預估其adr漲幅有望達66%。

由於目前美元轉強，外資匯入趨緩，台股指數受制在10日均線之下，台積電股價受到壓抑
。

由於chatgpt屬於開放源，法人表示，因此勢必會有很多廠商開發相關應用，尤其是新創
公司，對於矽智財（semiconductor intellectual property core，ip）的需求將會增加
，也會讓相關廠商有商機，預料包括創意、世芯-ky等。法人也挑出包括威盛（2388）、
穎威（6515）、巨有科技（8227）、信驊（5274）、系微（6231）、技嘉（2376）等chat
gpt概念股。

這一波ai熱潮也讓投資人再度關注資訊服務、軟體相關廠商在ai、雲端、大數據、資安等
領域的發展。

事實上，不少資服業受惠疫情後政府、企業加速數位轉型，近年業績來到歷史高檔水準，
加上過往現金股利配發率頗高，像是零壹（3029）、資通（2471）、敦陽科（2480）、宏
碁資訊（6811）等廠商今年仍可望有高殖利率護體，成為法人看好進可攻退可守之標的。

ai(人工智慧)、hpc等新應用大鳴大放，半導體產業加速朝往異質整合、高階3d封裝發展
，且隨著製造成本及製程複雜度不斷增加，晶圓測試技術重要性與日俱增，也帶動測試介
面需求「水漲船高」。

看好此商機，國內測試介面廠紛擴充產能，有望為中長期營運挹注動能。

目前國內測試介面業者齊聲看好ai、5g、hpc引領的長線大趨勢。精測（6510）總經理黃
水可認為，在雲端及邊緣運算需求帶動下，hpc需求量長期將一路往上，並認為會是「5g
為體，ai為用。」。

除精測外，其他測試介面業者也進行產能擴充。其中，穎崴（6515）位於楠梓加工區的探
針廠將於本季落成啟用，第二季之後進入量產，且已有客戶包下產能。

旺矽（6223）於2019年通過台商回流專案，總共投入超過10億元，在新竹自有土地新建廠
房，藉此提升探針卡與光電半導體的研發、生產規模及技術能量。


心得/評論：

這波除了星宇漲很兇
再來就是ai了！
創意巨有每天都漲不停，尤其是巨有科技目前盤中又漲停了



--
",pos
"{'words': 372, 'sentences': 30, 'pos': 5, 'neg': 1}","

原文標題：chatgpt爆紅 abf、伺服器板受惠

原文連結：



發布時間：

04:10 2023/02/19

記者署名：

工商時報 王賜麟

原文內容：



ai聊天機器人chatgpt爆紅，科技巨擎紛紛加入大戰，台灣電路板協會（tpca）分析，支
撐其背後高速運算、數據中心、雲端伺服器，相應的abf載板、高層板、hdi受惠。

法人表示，ai人工智慧背後有龐大的運算，高效能運算hpc首要與半導體有關，而晶片產
出後需要有載板來封裝，
。伺服器方面同樣
如此，隨網路資料流量越來越大，需要相應的高階伺服器支撐，對伺服器板廠來說，也是
質與量的同步提升。


chatgpt是由openai開發的人工智慧聊天機器人程式，包括深層式ai、聊天機器人都不是
新技術，但此次chatgpt不同之處在於能以人類的口吻回話，甚至給予特定條件，能創作
各式各樣內容。

tpca指出，隨著全球各大科技巨擎加入ai戰爭，未來除了軟體、人才的需求外，預期龐大
算力和資料量對於硬體建設需求也帶來新一波成長，包括ai晶片、數據中心、雲端伺服器
等，如chatgpt因應算力需求激增，已導入至少1萬顆高階gpu，mic預測今年伺服器出貨量
將以5.1％的速度持續成長。因此與之相應的abf載板、hlc、hdi等電路板產品也將會有新
動能挹注。





心得/評論：

怎麼辦搞得我好亂
美系外資前幾天才看空abf過於樂觀
現在又說chatgpt爆紅載板受惠
到底是誰在話唬爛？



--
",pos
"{'words': 665, 'sentences': 72, 'pos': 80, 'neg': 9}","
其實在去年特斯拉機器人出現的時候


應該就已經預料到了吧

雖然表面上都說

訓練機器人去做人類不想做的苦工

但難道就沒人想到

人也不想當兵？

更直白地說

是不想當炮灰

一定有想到的對吧？

都有yt影片認為波士頓動力公司已經準備好未來成為戰場上的戰爭機器


先是透過惡搞影片嚇人


但的確在未來不是不可能

因為他們的研發資金本來就有一部份是來自於美國國防部 darpa


一開始的大狗研發目的

是當車輛無法進入的崎嶇地形的駝獸

一開始吃油引擎聲音太大不適合軍用

後來改電池動力就很安靜惹

其實如果有立法

更能增加ai產業進入門檻限制

對於本來就在研發ai機器人的產業是有利的

所以馬斯克講這些話也算是符合自身利益

其實推特被 chatgpt 影響更大

因為人類的注意力有限

也不可能整天在推特看色色吧

人類大部分時間都在工作

而 chatgpt 應該是工作上的好幫手

因此注意力就會開始慢慢轉移到該怎麼好好利用 chatgpt 上

雖然網路上的真假更難分惹

但也剛好不如回到現實好好生活

那推特的賣點還剩下什麼？

更不用說其他社群網站和軟體現在都被 chatgpt 屌打囉

chatgpt 可以幫助人類更理性的判斷問題值不值得人類回答

這樣人類就不用浪費太多時間思考和在這些虛擬空間吵架惹

以下為 chatgpt 回答實例



股點在哪裡喔

其實看過 f16 改造成 ai 無人機影片就知道


ai 的影響就是

飛行員變成飛行經理

經理負責管理和指揮 ai

那 chatgpt 也是一樣道理

人人都可以變成 chatgpt 的管理經理

然後短時間內就會有大量內容產出

這就很適合做各種商業分析(當然廣義也包含股票分析)


而剛好像五力分析是需要大數據

這種就很適合 ai 來處理

也就是學習了解商業語言的進入門檻降低了

資訊不對稱的問題會越來越少


未來企業競爭會越來越激烈

毛利會越來越低

接下來大概就是各種整併

那既得利益者一定會想辦法抗拒的阿

這應該就是馬斯克所說對人類文明的危險性吧

因為原本很多元的人類文明

竟然就要被 chatgpt 大一統惹

比拜登、普丁還是習近平都厲害

嘻嘻

--
    創意.問題解決.真偽.自發性
           自尊.自信.成就感
        
      
       空氣.水.食物.住所
   

--
",pos
"{'words': 419, 'sentences': 28, 'pos': 11, 'neg': 3}","

原文標題：馬斯克警告！chatgpt對人類文明造成危險　籲要立法監管ai

原文連結：

發布時間：2023-02-17 13:27

記者署名：科技中心／林奇樺報導

原文內容：

近期在網路引起熱議的就是ai新科技chatgpt，比起過往的ai聊天機器人只能死板回覆，c
hatgpt人性化的對答也吸引許多網友使用。對此，特斯拉執行長馬斯克（elon musk）就
在15日的世界政府峰會上表示，「人類文明的最大風險之一」。

chatgpt是由美國公司openai所開發的，而馬斯克就是openai的聯合創始人之一，不過根
據《cnbc》報導，他15日在杜拜舉行的世界政府峰會上表示，「未來文明面臨的最大風險
之一是人工智能」，他也提到chatgpt已經向人類展示了人工智慧已經進步到了令人難以
置信的地步，而這是大家需要擔心的事。

馬斯克在會中也表示，雖然chatgpt能力強大、前景看好，但伴隨而來的卻是巨大的風險
。他也進一步表示，現在飛機、汽車、醫藥都有相關的監管規定，但人工智慧卻還沒有認
合的規則或法規可以控管，「坦白說，我們需要去規範人工智慧，雖然這可能會稍微減緩
人工智慧的發展，但我認為這也可能是一件好事」。

事實上，馬斯克過去就曾警告，無節制發展人工智慧將會很危險，甚至會比核彈頭「危險
得多」。此次在世界政府峰會上的言論，也引起熱議，因為chatgpt的興起，可能會以更
先進、更像人類的寫作方式顛覆就業市場。




心得/評論：

chatgpt如果一旦成熟被廣泛應用
很多人工產業很可能就被ai取代
例如以後記者就不用混了 全靠ai隨便寫新聞
這波夢不知道會炒到什麼時候

--
",pos
"{'words': 279, 'sentences': 31, 'pos': 11, 'neg': 4}","
1. 標的：00757 統一fang+ etf
2. 分類：討論
3. 分析/正文：

chatgpt正夯，未來這塊發展性無可限量
開發chatgpt的open ai，主要投資者是微軟
chatgpt將整合搜尋引擎bing和瀏覽器edge
未來有機會再次迎來一次業務高成長時期。

另外google也不甘示弱，發表ai新產品bard
雖然發表會並不理想，但google也不是省油的燈
後續調整，仍然是chatgpt的強大對手。

而科技領域大者恆大的格局，
不管最後微軟 google誰贏，
科技巨頭都是ai市場的最終優勝者

看了市面上的科技etf，還是統一的00757最好
成分股只有10檔，完全沒雜魚，都是科技龍頭
ai這塊未來不管怎麼發展，
主要利益大概還是由這10家吃下

除了微軟和google之外
nvidia、amd--ai技術硬體核心處理器
apple--siri語音助理
tesla--ai自動駕駛
其他像是亞馬遜、網飛、雪花也都有龐大運用利基


4. 進退場機制：

現在就進場，長期投資不用設停損
每跌一元加碼一張，越跌越買
兩年內若漲到60以上，先部分獲利了結，長線上看100

--
",pos
"{'words': 486, 'sentences': 42, 'pos': 21, 'neg': 6}","


早上睡醒就收到 new bing 的啟用信件

測試一整天下來
大致上的體驗跟chatgpt差不多

不過跟 chatgpt 不太一樣的是
你繼續問下去時常常會被當成一個新的問題去處理
比較沒有原本 chatgpt 聊天的感覺

測試一下實事的搜尋
因為 bing 沒有把資料限制在 2021 年之前
所以你搜尋土耳其大地震對股市的影響是有數據的



會一條一條的列舉
如果你對哪條有興趣的話可以直接點選會跳出該條目的來源

接著我換問問看比較複雜的問題
像這題 肯德基佔百事可樂的營收多少



早上我第一次問時回答的不錯
還把拆分跟併購的時間列出來

後來再問一次同樣的問題都是一些不太可靠的結果

所以你也有抽到試用名單的話
對著結果評論 (有讚跟倒讚)
應該是這服務能不能越來越好用的一個關鍵因素

另外提一點會造成搜尋結果不一樣的原因

如果你的bing頁面設繁體中文
它會跑去找中國、香港、台灣等有中文內容的網站

如果你的bing頁面設英文的話，這時你問它繁體中文的問題
會變成查找繁體中文的網站，跟把中文翻成英文再去找的結果

至於純英文的搜尋
跟 chatgpt 一樣明顯比中文強

目前使用的心得就是對估狗的衝擊一定有

自動整理資訊太香了

傳統搜尋完你要一個一個開分頁
現在是它整理完你再決定要不要點開來看更詳細的

不過給估狗一點時間一定也做得出同樣的產品

最後就看誰的商業模式能賺到比較多

不過微軟不靠bing賺錢
所以可以盡量的玩弄估狗

--
它不一定會翻譯成英文搜尋
可能是看抓到的資料數之類的決定
另外預設中文的結果也會提供較多的 百度、知乎 來源
可能是來自seo的影響
總之我不滿意結果就按倒讚
看它會不會越來越好用
如果人性就是懶的話 這個更不用動腦 我蠻看好的
",pos
"{'words': 583, 'sentences': 40, 'pos': 74, 'neg': 4}","
原文標題：

微軟 bing 結合 chatgpt 一出即爆，下載量僅次於 gmail

原文連結：

發布時間：2023/02/10

記者署名：ben

原文內容：

近期，人工智能領域可謂是備受關注，由美國「openai」研發的 chatgpt 更是火爆，他
的出現過使得億用戶盛情追捧。這其中不缺 microsoft、meta 以及 amazon aws 等科技
巨頭的加入，此外，microsoft 已經將其 ai 工具整合在 bing 搜尋引擎以及多項產品當
中，並已經在桌面端進行了有限度預覽。

另外，在 microsoft 發布 chatgpt 版搜尋引擎後，受此消息影響，microsoft 一夜市值
飆漲約 5450 億元，是近年來新高。通過 data.ai 的數據顯示，在 microsoft 測試集
成 chatgpt 的 bing 之後，還有在接下來的幾週期間推出移動版本，並且該應用已經在
appstore 的排名一路飆升。

chatgpt 到底有多猛？幾乎是一夜之間，bing 的下載量猛增了10倍之多，並且上了
appstore 免費榜的第十名，這還只是一夜的成績，我們不敢想像日後的火熱，而
chatgpt 也成為了僅次於 gmail 的第二大最受歡迎的免費生產力應用。

與此同時，受益的還有同樣宣布將集成 chatgpt 的 edge 瀏覽器，改軟件在 appstore
的排名也出現了明顯提升。

直至目前，從發布桌面端的測試來看，獲得人工智能加持的 bing，除了傳統的搜尋外還
有對話窗口，該窗口最多輸入 1000個字符。

用戶通過這一窗口，可以向 bing 提問，然後藉助 chatgpt 來生成回答，比傳統的搜尋
引擎更直觀。

同時，microsoft 還透露 bing 下一個版本將升級到下一代的大型語言模型，要比
chatgpt 強大得多，專門設計用於增強搜尋引擎。

另外，有消息透露，中國百度也將在 2023年3月推出和 chatgpt 類似的人工智能聊天機
器人服務。

心得/評論：

new bing 的預約通道超賊



鼓勵用戶下載 bing app / 在瀏覽器把 bing 設成預設
可以換取更前面的排隊優先權

這篇新聞出稿的時候是10號 當時還是第10名




現在在美國 appstore 已經超越 google drive 跑到第 2 名了

真是傑出的一手

微軟用佔營收不到5%的bing去槓google金雞母怎麼樣都划算

--
",pos
"{'words': 588, 'sentences': 47, 'pos': 7, 'neg': 2}","

原文標題：chatgpt爆紅市場嗨翻！巴隆：當心兩種ai投機泡沫


原文連結：



發布時間：

2023/02/08 22:21:37

記者署名：

經濟日報 編譯湯淑君／綜合外電

原文內容：

投資人最近爭先恐後搶搭人工智慧（ai）獲利列車，市場上再度燃起投資狂熱。巴隆周刊
（barron's）報導指出，ai投資正熱得冒泡，華而不實的泡泡正高漲到顛峰，從投資人大
舉押注跟ai沾上邊的小型投機股和加密幣，即可見一斑。



去年年尾，openai的聊天機器人chatgpt推出，激起投資人對這領域莫大的興趣，也促使
科技大咖紛紛投入ai武器競賽。微軟公司不僅投資openai，還打算運用chatgpt在網路搜
尋市場，逼得google母公司alphabet和中國大陸科技巨人百度（baidu）不甘示弱，也立
即推出各自的聊天機器人。


這三大咖，以及ibm、輝達（nvidia）等科技公司，或許都有爭霸ai市場的架勢，但投資
人此刻卻一窩蜂尋覓股性更活潑、可能提供更大投資報酬的小型ai概念股，像是c3.ai、b
igbear和soundhound，行情都水漲船高。

加密幣投資人也熱血沸騰起來，仗著數位資產年初大漲的氣勢（比特幣數周內就飆漲40%
，小型加幣漲勢更兇悍）乘勝追擊，ai概念加密幣的表現特別耀眼。

由數據公司cryptoslate編製、由73種ai相關加密幣所組成的指數，光在過去七個交易日
就狂漲87%，有些代幣飆升幅度更大得令人羨慕。

singularity net協助在區塊鏈上把ai服務轉化為搖錢樹，年初至今已飆升675%。專事記
錄區塊鏈ai資產產權的artificial liquid intelligence（ali）同時期暴漲500%。fetch
.ai今年初以來也大漲逾200%，顯示該公司「打造去中心化機器學習網路生態系」的使命
獲投資人力挺。



這三種加密幣憑著充滿ai熱門字眼的自我描述，成功吸引投資人青睞，如今合計市值已超
過13億美元。不難想見投資人為何爭先恐後投入這波ai投資熱潮。

然而，加密幣向來以泡沫著稱，而這波ai驅動的漲勢泡沫特徵實在太明顯。這波ai相關加
密幣投機狂潮，或許比當前ai概念小型股的投資色彩更濃烈。兩者雙雙暴漲，都反映同樣
的投機狂熱。投資人可得當心了。

巴隆周刊提醒投資人務必三思，因為這股投資狂熱可能以眼淚收場。





心得/評論：

利空來了
ai概念股這波能走多久
現在最精彩的就是創意到底會不會破千
還是甩你嚇你磨你

--
",pos
"{'words': 348, 'sentences': 22, 'pos': 28, 'neg': 0}","

這幾天狂用chatgpt 基本上有在寫程式的人都會用stackoverflow

但也要你的問題 剛好有人在stackoverflow問過 你才會有結果可以看

當然可能80~90%的情況是可以找到答案 但有時候就真的要找很久 一篇一篇翻

或是瘋狂google 要不然就是去youtube找答案

運氣差的時候找一了個小時 還不一定能找到讓你滿意的結果

但chatgpt上 你直接問

他直接回答yes or no 你再請它給code example

馬上生出code example

覺得回答不夠詳細 還可以叫要它一步一步解釋清楚 再附上另一篇code example

甚至還可以把自己的code貼上去 叫chatgpt幫你加上附註

我覺得chatgpt未來會不會取代swe我不知道

但至少現在幫swe省了很多找答案的時間是真的

這幾天瘋狂使用 真的香

未來要月付20美金 我也是會付的

光省下找答案的時間就不知道省多久

還有現在chatgpt還應用到很多軟體裡 notion現在就有內建chatgpt了



剛看到chatgpt有去抓大量github的repo資料 基本上github上的repo大多是公開的

github和chatgpt都是微軟der

我看未來chatgpt只會越來越好用 至少在幫助寫程式方面

--
chatgpt目前我認為還是輔助工具 就跟google到的東西也不一定都對一樣
但目前真的讓我少花太多時間去stackoverflow找答案！
",pos
