Result,Sentence
"Sentiment(polarity=0.0, subjectivity=0.0)","



劉德音首度對美晶片法案表態：有些條件 台積沒法接受


2023/03/31 01:05:28

經濟日報 記者尹慧中／新竹報導










劉德音昨日以台灣半導體產業協會（tsia）理事長身分，出席tsia會員大會後，釋出以上

訊息。劉德音未透露對美方的哪些條件無法接受，僅透露「我們會直接跟美國談」。

















劉德音強調，台灣的成功也會是美國的成功，大家（台積電與美方）都有接觸，希望調整

到不受負面影響。





美國商務部27日公布「晶片法案」補助細節，業者投資先進製程，最快31日開放申請，










台積電也對公司無法接受哪些美方規範保密到家。業界推測，應是美方涉及營業祕密保護

的項目，如申請者須描述相關生產客戶或客戶類別、終端市場應用前十大客戶資料等。



業界人士分析，即便美國晶片法案計畫辦公室表達保護機密商業訊息不被公開的重要性，

申請的廠商仍有權利拒絕提供相關資訊。對於美國公部門的要求，企業並非不能提出異議

，先前蘋果也曾多次拒絕美國聯邦法院與官方提供數據與解鎖手機的要求，以避免侵犯公

眾利益。












回應外界關注chatgpt掀起的ai浪潮，劉德音說，目前看來，ai時代可望更早來臨，使得

高速運算需求成長。台積電去年高速運算營收已超越智慧手機，成為未來營運的驅動力。






--
"
"Sentiment(polarity=0.0, subjectivity=0.0)","
即使受svb影響，ai聊天機器人仍火熱，零營收新創公司竟獲1.5億美元a輪融資



創投公司總是在尋找下一件大事，尤其是現今受到矽谷銀行影響下，創投的投資開始逐步降溫之際。2023年3月23日，知名創投家andreessen horowitz宣布投資於人工智慧聊天機器人公司character ai。這一a輪融資總額為1.5億美元，由a16z領投，包括nat friedman、elad gil、sv angel和a capital的投資。

如今ai似乎正進入所謂的「ai的iphone時刻（the iphone moment of a.i.）」，隨著openai的chatgpt廣為人知的名字之後，即使是一家營收仍為零的新創公司，仍然能夠獲得1.5億資金且預估市值可達10億美元的ai聊天機器人新創公司，表明了投資ai進入黃金時刻。

character ai是由前谷歌軟體工程師noam shazeer和daniel freitas於2022年9月推出，是一種網路應用程式，其可通過預先編程的角色聊天機器人生成文字。character.ai預計將使用這筆資金來訓練其自建模型並擴充22人的團隊。

根據pitchbook的數據，2023年迄今為止的在ai的投資已超過2020年全年的15億美元水準。此外，根據市場情報公司grand view research的數據，2022年ai產業的價值已超過1366億美元，預計到2023年將達到1960億美元。

這家總部位於加州menlo park的公司正在推出一種新型態模式的聊天機器人，除了目前的娛樂、角色扮演和情感支持等案例之外，它還增加了更多生產力功能，包括撰寫草稿電子郵件和協助準備考試等。

character.ai雖然目前沒有產生任何收入，但character.ai計劃在不久的將來推出訂閱付費，同時保持當前的免費版本可用，所以其不排除廣告支持的營運模式。

chatgpt帶起的另外一種發展趨勢是，在區塊鏈中實現ai的想法也開始興起，開發人員旨在將ai技術與智慧合約和代幣（包括hera、ali、nmr和agix）相結合。雖然智慧合約在web3中很常見，但隨著幾個專案推出ai，讓人們看到ai正在成為區塊鏈產業的一部分。此外，ai令牌是旨在使用ai來提高安全性、用戶體驗和可擴展性的加密貨幣。chatgpt帶起的另外一種發展趨勢是，在區塊鏈中實現ai的想法也開始興起，開發人員旨在將ai技術與智慧合約和代幣（包括hera、ali、nmr和agix）相結合。雖然智慧合約在web3中很常見，但隨著幾個專案推出ai，讓人們看到ai正在成為區塊
鏈產業的一部分。此外，ai令牌是旨在使用ai來提高安全性、用戶體驗和可擴展性的加密貨幣。

在宏觀層面上，區塊鏈和ai可以提供數位世界中前所未有的透明度、問責制和分析水準。

麻省理工學院認為，我們有能力將全球經濟體系和整個社會的可信度提升到一個新的水準。因此，區塊鏈和ai正在成為下一個超級週期，並且是真正重大社會變革的核心。

--
"
"Sentiment(polarity=0.0, subjectivity=0.0)","


韓晶片設備支出 將超陸追台

2023-03-28 00:31 經濟日報／ 編譯葉亭均／綜合外電


semi報告指出，南韓明年先進晶片製造設備支出額將超越中國大陸，躍居全球第二大，直
逼台灣。（美聯社）

南韓明年對先進晶片製造設備的支出額，預料將超越中國大陸，這是美國出口管制重塑全
球半導體供應鏈的跡象之一。屆時，南韓半導體設備支出額也將躍居全球第二大，直逼台
灣。

根據國際半導體產業協會（semi）的資料，整體而言，全球明年半導體設備支出額預期成
長21%至920億美元，逆轉今年減少22%的走勢。今年半導體業主要受晶片需求減與庫存較
高拖累。

其中，南韓在2024年對晶片製造設備的投資額可能增加41.5%至210億美元，相較下，大陸
只會增加2%至166億美元。

根據semi的資料，台灣明年預料依然是全球最大半導體設備支出國，預期明年相關支出成
長4.2%至249億美元，日本則成長至70億美元。

上述數據凸顯出，在美國迫使大陸更難以從艾司摩爾（asml）這類設備商進行採購之際，
大陸難以取得重要機台來改善晶片生產。隨著荷蘭與日本政府加入美國對大陸實施出口限
制的行列，來自輝達、東京威力科創等公司的最先進晶片與設備持續無法落入大陸手中。

包括應材、科林研發和磊在內的美國晶片設備供應商，預料今年將因美國對大陸採取限制
措施而損失數十億美元營收。

晶片製造業者對於經濟和政治霸權的競賽尤其重要，原因是它們生產可用於人工智慧（ai
）、自駕車與其他對提高國家競爭力至關重要技術所必備的先進晶片。舉例來說，openai
的chatgpt是由數萬片輝達的a100晶片組合成具功能性的超級電腦構成，而輝達的a100晶
片已經禁止賣給大陸。

南韓有很大一部分記憶體晶片是在大陸生產，而且日益瞭解到美國的不安，南韓現在正尋
求在本國境內蓋晶圓廠。該國也把晶圓代工視為經濟的最大成長引擎之一。

南韓總統尹錫悅本月稍早宣布計劃在首爾南部之處建立晶片生產聚落，已獲三星電子點頭
投資300兆韓元（2,300億美元）。三星也正在美國德州蓋一座半導體廠，以便在美國贏得
更多晶圓代工業務。

--
佛教經典的
是  是菩薩成佛之道
         是 佛經
  是 佛        是 菩薩



--
"
"Sentiment(polarity=0.0, subjectivity=0.0)","
gpt-4進步太快，科學家無法透過取得底層代碼研判，暗示其安全性是潛在威脅



chatgpt所依賴的的大型語言模型的最新版本gpt-4發佈了。與gpt-3.5相比，gpt-4能夠根據任何提示創建類似人類的所做的文章、產生影像和電腦程式碼。

研究人員表示，gpt-4的這些能力有可能改變科學，但有研究人員表示，他們還無法接觸到這項技術、其底層程式碼或如何訓練的資訊，所以不能判斷其安全性如何，甚至未來是否對人類帶來威脅。

最新版本的gpt-4的一個升級之處是，不只能處理文字對話還可以處理影像。openai表示，gpt-4以第90個百分位的成績通過了美國律師法律考試，這比起gpt-3.5版本的chatgpt僅通過第10個百分位有很大進步。

其實，gpt-4還不能被廣泛使用，只有chatgpt的付費用戶可以使用最新版本。

荷蘭阿姆斯特丹大學的心理學家表示，看過gpt-4的演示之後，對其能力感到驚歎。例如：gpt-4可以僅僅根據一個網站的手繪塗鴉圖像，快速生成建構該網站所需的電腦程式碼。

科學界對於openai對模型如何訓練、訓練哪些數據以及它實際如何工作的保密感到沮喪。因為他們並非是開源模型，屬於封閉模式，整個ai社區來說，這是一條死胡同。

一位rochester大學的化學工程師是red team的身份，所以可獲得訪問gpt-4的特權。基本上，red team是openai雇來測試gpt-4平台並試圖讓它做一些壞事的人。他發現單獨使用gpt-4的效果可能沒有多麼出色，但當你讓它連接網路之後，它就像突然擁有了新的能力。所以他的擔憂是，例如：gpt-4可從網路獲得製造危險化學品的機會，如果沒有人規範，其可以從事危險、非法或破壞性的東西。事後雖然openai的工程師對gpt-4模型進行了調整，但其仍受到質疑。

gpt-4還面臨著一個問題，那就是輸出虛假資訊，像gpt-4這樣的模型，可以用來預測句子中的下一個詞，但無法判斷虛假或錯誤資訊，進而預測錯誤的「幻覺」。

簡單來說，由於無從得知gpt-4的訓練資料，openai對於安全性的保證並無法滿足科學界的要求，這讓人們無法監督gpt-4所犯的過錯。如果科學家不能存取gpt-4背後的程式碼，就不能看到偏見從何而來，也就無法糾正產生的偏見。

科學家們還擔心，最後這些ai技術將集中往某些科技大廠，希望這些科技大廠能負起責任，讓科學家進行適當的測試和驗證，但是在商業利益且尚未發生重大事件的前提下，根本很難執行。

總之，儘管科學家存在許多質疑，但可預見gpt-4及其未來版本將繼續撼動科學，有可能像網路改變科學一樣，成為下一個改變科學的力量。短時間來看，gpt-4們是不會取代科學家的，卻能夠協助他們完成一些任務。到底生成式ai會走到哪一步，只能祈求它不要走偏了。

--
"
"Sentiment(polarity=0.0, subjectivity=0.0)"," 
上過一位老教授的課
 
他是台大電機畢業到美國名校碩博畢業
 
也是自己領域的大佬
 
他有一次分享說在他年輕氣盛的時候
 
有位mit 80幾歲的教授訪台交流
 
他想說既然是mit教授
 
他要準備一些有水準的問題考倒他
 
結果mit教授幾乎回答不出來
 
最後老神在在地說 同齡人就要和自己同齡的比
 
當時40幾歲的他還不以為意
 
結果現在快退休了 覺得當時自己很可笑
 
 
每代人的成長環境和資源都不一樣
 
你嘴巴中的廢物老人當年求學的時候
 
不要說chatgpt 甚至連google都沒有
 
真的不必在前人建立起來的相對好的環境下成長
 
再嫌老一代的人很廢
 
有好勝心是好事
 
但跟自己同一輩的人比就好
 
因為比你年輕十年的人之後比你強的也會有一狗票
 
--
 
"
"Sentiment(polarity=0.0, subjectivity=0.0)","

2023年3月15日17︰25
鴻海車用零配件營收上看千億 ai伺服器業績逾2千億

鴻海董事長劉揚偉今天下午預估，今年車用零配件營收規模將大幅倍增至新台幣500億元
至1000億元，電池產線布局有進展，集團在人工智慧（ai）伺服器業績超過2000億元。

他並預期，電腦產業景氣下半年可反轉回溫，明年可重返成長軌道。

鴻海下午舉行線上法人說明會，法人問及電動車布局，劉揚偉表示，持續穩定朝目標前進
，2025年透過電動車創造新台幣1兆元營收目標不變；在北美市場，3月鴻海集團在美國俄
亥俄州廠區monarch電動農用車組裝開始量產；model c預計第4季起陸續交車；泰國電動
車廠建設中，完工後初始產能每年5萬輛、逐步增至每年15萬輛。

在車用零配件，劉揚偉指出，車用零配件是營收成長主要來源，去年集團在車用零配件營
收規模約新台幣200億元，預估今年規模成長至500億元到1000億元，墨西哥廠持續擴產，
集團新的電控和傳感器產品線今年內也會展開，電池芯和電池包測試驗證和製造也會在今
年進行。

在電池產線布局，劉揚偉透露，美國威斯康辛州廠區規劃電池產能，發展包括電池芯和電
池包等新能源和儲能系統（ess）等電池零配件，俄亥俄州廠區也會布局電動車電池包產
線。在台灣，高雄和發電池中心預計第4季進行第1條線試車，提供電動巴士使用的磷酸鐵
鋰電池芯（lfp），預計2024年第2季進入量產。

法人問及對聊天機器人chatgpt帶動人工智慧伺服器趨勢看法，劉揚偉表示，人工智慧生
成內容服務創造更多新應用，推升雲端伺服器需求，降低元宇宙內容生成成本，促進元宇
宙應用發展，此外電動車和自動駕駛應用，也會帶動資料和數據儲存商機。

鴻海指出，人工智慧伺服器占鴻海整體伺服器業績比重約20%，伺服器營收近新台幣1兆元
，ai伺服器營收超過2000億元。

觀察電腦終端產業，劉揚偉預估，電腦產業景氣預期下半年可反轉回溫，明年可重返成長
軌道，今年鴻海集團在相關領域業績可成長兩位數百分點，主要是高階產品動能佳、與客
戶密切合作、印表機需求看佳。

在元件和其他產品，鴻海表示，集團相關元件營收規模超過1兆元，營收規模占比約15%，
今年成長新動能包括聲學元件、半導體、軟體等，傳統機構件和光學模組將隨市場趨勢成
長。

--
"
"Sentiment(polarity=0.0, subjectivity=0.0)","

2023年3月15日20：16
鉅亨網記者彭昱文
劉揚偉：chatgpt帶動ai伺服器需求 公司一定會受惠

chatgpt帶動全球ai趨勢，鴻海（2317-tw）董事長劉揚偉也看好，生成式 ai 將帶動 ai
伺服器、高效能運算（hpc）等算力需求增加，「鴻海一定會受惠」，而目前鴻海ai伺服
器業績約2000億元。

劉揚偉表示，雖然目前分析師都還在估算chatgpt市場規模到底有多大、成長性有多少，
可能還要過個1-2季之後才會比較明朗，但現階段看起來相關趨勢已經成形。

劉揚偉進一步指出，chatgpt、生成式ai帶動算力需求增加，預期將帶動ai伺服器、hpc等
需求，不過，由於目前變化相當快速，要成為一個穩定的生意還要一段時間。而鴻海去年
伺服器業積就達近兆元，ai伺服器出貨就占其中2成。

此外，鴻海今年也持續發展延展實境（xr），包括擴增實境（ar）、虛擬實境（vr）與混
合實境（mr）等，同時也會透過軟體強化ar眼鏡內容與應用的布局，掌握新的應用與技術
所帶來的成長機會。

--
"
"Sentiment(polarity=0.0, subjectivity=0.0)","

先不討論人才
以資金面來看 chatgpt難度太高了

沒有官方說法 但各界評估chatgpt訓練一次就要上百萬美金

假設openai手上有1000張a100 訓練一次也要34天

想像一下台灣有哪家企業願意且有能力花這個錢

ai除了需要人 更需要錢

如果沒有微軟的投資  也不會有chatgpt

ref:





--
"
"Sentiment(polarity=0.0, subjectivity=0.0)","


園區首家ai晶片廠 耐能進駐竹科

2023/3/6 16:45

（中央社記者張建中新竹6日電）聊天機器人chatgpt全球掀起熱潮，台灣政府也著手布局
台灣版chatgpt。ai晶片廠耐能創辦人暨執行長劉峻誠表示，台灣要打造自己版本chatgpt
是可行的，不過在有限資源的情況下，要採用ai晶片。

新竹科學園區管理局今天召開記者會，依往例邀請區內新創的廠商代表出席說明目前營運
狀況，與媒體進行交流。竹科管理局長王永壯說，今天獲邀的耐能主要供應ai晶片，醫流
體則是利用資通訊技術投入精準醫療領域。

耐能2015年於美國聖地牙哥創立，為竹科首家專門研發ai晶片的公司。醫流體成立於2019
年5月，以微流控系統為核心技術，提供核酸檢測及快速抗生素用藥篩選等服務。

劉峻誠今天應邀出席，他說，transformer是chatgpt的殺手功能，相較當前主流的ai技術
多了持續性識別與群體識別，準度可以提升30%至40%。

劉峻誠表示，chatgpt「燒錢非常快」，建構硬體須耗資8億美元，一次訓練要1200萬美元
，1年營運費用高達60億美元。

他指出，chatgpt是採用適用於打遊戲、畫圖像的繪圖晶片（gpu），台灣要打造自己版本
的chatgpt是可行的，不過在有限資源的情況下，要用性能成本比gpu便宜的人工智慧（ai
）晶片，耐能2年前即推出支援transformer的ai晶片。

劉峻誠說明，不同的晶片有不一樣的功能，繪圖處理器主要用於打電競及畫圖像、ai晶片
則是專為ai所打造的晶片。由於目前可用於chatgpt的ai晶片尚未普及，chatgpt暫時使用
gpu進行ai訓練。

他指出，若以能源效率比較，訊號處理器（dsp）是中央處理器（cpu）及gpu的10倍，ai
晶片又是gpu的100倍。

耐能目前團隊共250人，其中，台灣員工人數達180人。劉峻誠說，耐能的ai晶片可應用於
安防、智慧物聯網及汽車領域，預計今年底將與德國2家車廠合作。
（編輯：楊蘭軒）
1120306

#劉峻誠 #耐能 #chatgpt

--
佛教經典的
是  是菩薩成佛之道
         是 佛經
  是 佛        是 菩薩



--
"
"Sentiment(polarity=0.0, subjectivity=0.0)","

講實在話 openai / chatgpt 之後會不會變成泡沫都不好說

現在只是大家覺得新奇 一陣子後可能就發現 阿也不過就是這麼回事  然後就...

再者像large language model或就是所謂的big data這種東西  就是大國跟科技巨獸才
有辦法玩

撇開硬體、電費要燒得前都先不談 後面的big data就不是弱小國家有辦法碰的

中國可以狂買聯發科ic、美國可以狂下單給台積電

但你要蒐集中國人跟美國人的資料 這還得了

台灣搞ai. 終究還是只能做晶片啦.

軟體是沒有希望的




--
"
