Result,Sentence
"Sentiment(polarity=0.0, subjectivity=0.0)","


meta參戰chatgpt 科技巨頭拚場

2023-02-26 00:23 經濟日報／ 記者蕭君暉／台北報導


meta宣布，將推出人工智慧（ai）大型語言模型「llama」，用於研究相關應用工具。
（本報系資料庫）

社群媒體臉書母公司meta宣布，將推出人工智慧（ai）大型語言模型「llama」，用於研
究相關應用工具，並嘗試加入微軟、google的行列，在chatgpt掀起的ai大戰中創造話題
。

ai競賽已吸引各大廠加入，除了之前宣布的微軟、google、百度、阿里巴巴與蘋果，現在
連meta也宣布加入戰局。

meta執行長祖克柏表示，該公司也將加入ai競賽，新發布的新機器人系統llama與chatgpt
或bing並不相同，這不是一個任何人都可以與之交談的系統。

相反的，它是一種研究工具，在產出文本、對話、整理文檔，以及進行更複雜任務等方面
展現巨大潛力，例如解決數學問題或進行科學研究。

至於google，已在2月舉行ai機器人bard的發表會，惟未能正確回答問題，影響市場的信
心。

百度推出文心（ernie）語言模型為生成式對話產品，未來將與百度搜索引擎對接，目前
各項功能已陸續在百度上線或進行內部測試，包含多答案回覆、智能生成等。

阿里巴巴則推出釘釘，並規劃將ai對話生成技術與公司內部智慧辦公平台釘釘結合。

蘋果將舉辦內部人工智慧峰會，聚焦於chatgpt及open ai的討論。

--
佛教經典的
是  是菩薩成佛之道
         是 佛經
  是 佛        是 菩薩



--
"
"Sentiment(polarity=0.0, subjectivity=0.5)","
有學生在科技業跟我分享他寫信常覺得寫很台，要怎麼避開中式英文？
我來分享怎麼用chat gpt 這個ai軟體幫你修改書信，並且從修改的版本中學到更好的英
文用法喔！



↑點開圖卡概念更清楚唷

假設學生的書信原文是長這樣 :
xxx is a ic for mid-end drr and gaming monitor, it needs to consider enough
compatibility for product verification.
justin communicates with customer and rd to arrange a complete verification
environment. justin do his best to communicated with pm and tm to get a
go-to-market strategy in line.

所以學生的信想要介紹某個ic的功能,
並且他想描述某個同事跟其他部門合作跟溝通的事務
#首先我在chatgpt輸入：

『請幫我修改這段英文的文法跟道地度，並多給我幾個版本』

接著chat gpt生出了幾個版本，
我就挑了一個我覺得比較接近我想表達意思的版本：
the xxx ic is designed for mid-end drr and gaming monitors.
in order to ensure compatibility and verify the product, justin works closely
with customers and r&d to set up a comprehensive verification environment. he
also communicates with the pm and tm to develop a go-to-market strategy.

每個人書信溝通想要強調的重點都不一樣
大家都可以跟chat gpt要求自己希望強調重點的方式

#接著觀察這段話的架構

可以觀察到chat gpt提供的版本架構拆成兩個重點：
1. 先強調某某ic的功用

→ the xxx ic is designed for mid-end drr and gaming monitors.
某某 ic 是設計給drr 跟gaming用的

2.再解釋同事做事目的 & 實質做事內容

→ in order to ensure compatibility and verify the product, justin works
closely with customers and r&d to set up a comprehensive verification
environment.
he also communicates with the pm and tm to develop a go-to-market strategy.
為了確保相容性跟驗證產品, justin跟客戶還有研發部門密切合作來設立一個完整的驗證
環境，他也跟pm還有tm發展出一套進入市場策略

#最後模仿英文句型跟用法
1.拆解句型使用規則
學生一開始想介紹某設計某個ic的目的，
可以觀察chat gpt給的句型是:

→ 某產品 is designed for 某目的

所以套用公式這句話就變成:
the xx ic is designed for mid-end drr and gaming monitors.
某某 ic 是設計給drr 跟gaming用的

2.用因果句型邏輯更清楚
可以觀察到原始版本寫作的因果關係比較薄弱，
這裡用 ""in order to"" 帶出同事做事的目的，

後面再接上為了達成目的他要做甚麼事
句型拆解：

→ in order to 達成某目的, 誰...

套用句型:
in order to ensure compatibility and verify the product, justin …
為了確保相容性跟驗證產品，justin...

下一句再用 ""he also…"" 表達他 ""也"" 做了某件事

3.模仿貼近實況的描述
本來學生是用communicate (言語溝通) 這個字，
但實際上應如果不是只有言語溝通，
而是有很多行為上的來來回回協調合作，

就可以用""work closely with (誰跟誰緊密合作)""

句型拆解:

→ 誰 works closely with 誰

套用句型：
justin works closely with customers and r&d.
justin跟客戶還有研發部門有密切合作

4.換成更道地的詞組搭配
英文的動詞跟名詞搭配也很容易用錯，
這點chat gpt也會幫忙改好
比方說：
arrange an environment
→ set up an environment (設立一個環境)
get a strategy
→ develop a strategy (發展一個策略)

所以如果善用chat gpt，
就可以用這種針對你的需求出發的方式學英文
滿有效率的！

《最後也歡迎你》
>> 免費訂閱我的七點半學英文電子報：
(訂閱完記得去信箱二次確認才會訂閱成功唷)

>> 追蹤我的fb：

>> 追蹤我的linkedin：

--
"
"Sentiment(polarity=0.0, subjectivity=0.0)","
人工智慧（ai）可能從2023年起，徹底改變市場遊戲規則



摩根士丹利研究團隊表示，2023年初的市場新寵就屬於ai了，而且其還具備「真正的市場
影響潛力」。比爾蓋茨也於近期表示，對過去12個月ai領域取得的進展表示興奮。其甚至
將ai的發展與發明沒有繪圖介面的pc、帶有繪圖介面的windows和mac系統、以及網路的出
現等重大科技事件相提並論。

摩根士丹利表示，近年來，市場目睹了一些投資熱潮：從meme股票到大麻再到 web 3。隨
著每一種投資的降溫，資本就會尋找下一個安全且具成長性的題材，有跡象表明ai是值得
認真考慮的。

許多戰略家認為，ai是2023年最值關注的競爭者，因為該技術將用於多個產業，消費者和
企業都表現出迅速採用它的意願。比爾蓋茨則表示，在教育、醫療等方面，無論是
chatgpt還是其他競爭者，都將彰顯其潛在的價值。

如今微軟確定投資100億美元於openai，讓chatgpt用戶數量突破100萬。隨後微軟計劃在
其bing搜尋引擎中使用openai的技術，加速與谷歌競爭。谷歌於2月上旬決定採用自己的
ai聊天機器人bard於搜索引擎之上，雖然此次發布因首次技術示範中的錯誤而黯然失色，
並讓谷歌市值縮水1000億美元。但這表明ai軍備競賽將成為未來產業決勝負的關鍵要素。

lpl financial表示，利率上升意味著通過創新來促進成長對科技公司來說至關重要，而
ai是最能夠幫助科技公司創新的技術之一。如今隨著ai變得越來越複雜，這可能成為推動
科技產業進入下一階段的催化劑。這也是2023年初以來，nasdaq指數上漲了13%以上的原
因。

雖然ai技術的發展已經而且應該繼續成為許多大公司聚焦的焦點，但是經濟學家警告說，
ai可能會取代工作崗位並降低工資水準。openai 執行長甚至稱生成式ai將成為「打破資
本主義」的關鍵技術。這將使得社會結構將再一次面臨衝擊，也帶來全人類政府的挑戰。

另外有科技專家指出，隨著生成式ai正在增強搜尋引擎能力，即使未來不再是谷歌獨佔搜
尋引擎的地位，但是最終仍可能會被少數科技巨頭所主導。因為能夠拿出錢大舉投資ai的
科技公司並不會太多，除了谷歌、微軟之外，亞馬遜、meta以及蘋果才有這個實力利用這
一技術壟斷科技產業。因此，可預見的未來，科技產業仍是一個大者恆大的景象，只不過
科技大廠要單獨壟斷不太容易，但是變成雙壟斷或寡頭壟斷，還是令人擔憂！

--
"
"Sentiment(polarity=0.0, subjectivity=0.0)","


南亞科：市況復甦需時間 遇缺不補無裁員計畫

【新唐人亞太台 2023 年 02 月 22 日訊】記憶體產業面臨14年來罕見的報價下跌，台灣
dram大廠南亞科，釋出市況復甦還需要更多時間；外界也關注指標美系大廠大動作裁員，
對此，南亞科表示目前沒有裁員計劃。

國內dram大廠南亞科，舉行媒體餐敘，宣布董事會通過今年現金股利配發2.13元，資本支
出185億。不過數據顯示，dram價格出現14年來最大跌幅，美光宣布大動作削減支出，在
台進行兩波大規模裁員，外界關注，南亞科是否跟進人力緊縮？

南亞科總經理 李培瑛：「基本上南亞科技，並沒有裁員的計劃，我們在人事費用的掌控
方面，我們一部分的部門會是遇缺不補，但是在研發以及我們擴建，我們南亞科技在做新
廠的擴建，研發跟擴建的部分，我們會視專案來處理，適度的增員。」

李培瑛指出，台灣與美國企業文化不同，公司會適度樽節人力成長，同時兼顧擴建和創新
成長。景氣方面，供應端主要廠商降低資本支出、減少產能，有機會下半年，庫存逐漸去
化。

南亞科總經理 李培瑛：「以需求端來講，跟以每一家產出的控制來講，（市況）有機會
逐步的改善，但是不會是很快巨幅好轉（stay function）這樣改善，有機會在下半年會
比上半年好。」

業者認為，儘管今dram產業，需求成長率低於往年平均值，中長期，ar/vr、車用、人工
智慧等多面向，依舊看好需求成長性。

南亞科總經理 李培瑛：「不是只有chatgpt這樣一家，很多ai應用逐步出現以後，包括將
來的自動駕駛的汽車也好，這些ar/vr/mr這些東西，所以ai是一塊很重要的領域，所以仔
細觀察。」

至於近期傳出4月份，工業用電價可能再漲三成，南亞科表示，半導體產業是用水、用電
大戶，當然不希望費用嚴重增加，但能源問題是全球性，肯定電價必須做一些適度調整，
不希望受到太大影響。

新唐人亞太電視 曾奕豪 沈唯同 台灣台北報導

--
"
"Sentiment(polarity=0.0, subjectivity=0.0)","
生成式ai正成為新創公司搶錢的工具，也讓這股投資狂潮持續上演



與微軟支持的openai競爭的ai基礎模型新創公司cohere，正在商談下一輪融資中籌集數億
美元的可能性，使得這家新創公司的市值可能超過60億美元，這是一種圍繞生成式ai投資
狂潮的最新跡象。

如今隨著chatgpt風生水起，「生成式ai」成為流行語，許多創業投資公司都急於投資該
領域，就如2010年代初期全世界都在瘋狂投資共享經濟的新創公司一樣。

chatgpt之所以那麼火熱，因為其似乎成為新創公司的救星。內容創作公司jasper使用
chatgpt背後的技術，讓其在2022年10月份的a輪融資中籌集了1.25億美元，讓公司的市值
達15億美元。jasper的競爭對手copy.ai使用 chatgpt進行行銷，於2021年10月在a輪融資
中籌集1100萬美元。

此外，有用於醫療保健的生成式ai，例如：專注於醫生的atropos health和合成醫療保健
數據公司syntegra等新創公司都在過去12個月內籌集了資金。強化ai的視訊編輯新創公司
runway在2022年12月籌集了5000萬美元的c輪融資，而增強型ai設計公司creative
fabrique在2023年1月籌集了6100萬美元。在教育領域，生成式ai的教學反饋新創公司
teachfx在2022年9月籌集了1000 萬美元，而增強型ai教科書公司prof jim在2022年1月獲
得了100萬美元的種子輪融資。

至於ai基礎模型新創公司cohere，計劃引入一種類似於chatgpt的新對話模型，讓企業用
戶產生文本並與基礎模型互動以優化輸出。其與chatgpt不同的是，cohere的技術將主要
面向開發人員和企業。

cohere將專注於訓練自然語言處理（nlp）模型，與openai、anthropic等相同的基礎模型
提供商競爭。

就在2023年2月出谷歌決定向anthropic投資3億美元。anthropic是一家研究和開發“可靠
且可控”的ai系統的新創公司。作為交易的一部分，谷歌將獲得 anthropic約10%的股份
。 該公司還將通過與谷歌雲端的首選供應商合作夥伴關係購買雲端運算資源。

總體來說，新創公司為了吸引投資，可能會為了沾上chatgpt的邊而使用chatgpt或生成式
ai。根據歷史經驗得知，最終並非所有的生成式ai公司都可以存活，也並非所有產業因為
採用生成式ai就可以解決問題。畢竟，生成式 ai的發展仍處於早期階段，許多公司仍會
為該技術提出更多新案例，唯有能夠獲得穩定的收入和利潤的新創公司才能存活。

--
"
"Sentiment(polarity=0.21428571428571427, subjectivity=0.42857142857142855)","

阿肥外商碼農阿肥啦！

剛好看到這篇文章就回覆一下，這次大型語言模型(llm)表現出來的是語言模型的湧現能
力，我其實不贊同lecun說的llm是歪路，畢竟雖然我們可以直覺知道加大網路連接數可能
是實踐人類大腦的一個重要步驟(畢竟人腦的連結數量跟複雜性在生物醫學上都有驗證)，
但科學上不去驗證你沒辦法證明某些事情的。

我這邊科普一下湧現(emergent)能力是啥好了，所謂的湧現源自於生物學就是指當生物
系統夠複雜的時候，就會表現出他群集本來不具備的功能，像人類社會就是這樣的。而套
用到lm上就發現到這種狀況普遍存在大型語言模型，像lamda、gpt-3、gopher這些llm都
表現出跟人類一樣出色的類比、歸納能力甚至更出色，甚至不需要做任何直接訓練很多實
驗中都驗證只要只要夠大，自然就有湧現能力，這也驗證了為啥prompt tuning在llm上面
才可行，因為你夠大就可以用prompt 刺激他某些激活神經元，出現本來不具備的能力(有
興趣知道prompt tuning可以去看一下chain of thought 那篇論文)。而正經瞎掰有時候
正是人類文明的特色，自然界很多物種其實是不會虛構事實跟類比的。

回到為啥他數學不好的點上，這邊其實蠻多針對chatgpt跟大型llm的論文或是博客研究都
發現到當前llm對於歸納推理、因果推論、空間推理都是表現蠻差的，而且大小模型也不
會因為增加參數規模而獲得更好的結果，這正好是由於其實模型現在的理解力是基於橫向
水平的，而數學、因果推論其實是空間物理樹狀的，舉例來說，你做加法或乘法的時候其
實是先去檢索過往有沒有背過相似的模板然後在去想像空間樹狀垂直相乘或相加(我自己
腦袋是比較差的，但是之前討論過大部分跟我智力水平差不多應該都是這樣，也許有人可
以趴一下橫向思考腦袋就出現計算結果，但當前不討論)，這點是當前llm不具備的，畢竟
當前基於的模型結構都是基於橫向語言優化的，也沒有物理規則的概念，所以也驗證了當
前llm的侷限性。

至於程式語言為啥chatgpt表現優異我覺得主要還是在於，其實現代的程式語言都是封閉
自洽的，而且說其實我們人類在看程式碼是垂直樹狀佈局的，但其實思維上依然是橫向佈
局，而這種模式是跟llm天然相似的，所以你要他實作一個功能真的相對單純，不過人類
有空間佈局的概念也看出來為啥llm還做不到系統級的設計，你只能一個一個把他原子化
成橫向思考再來問他實作功能才是最好的。

其實我更傾向把這次llm的實驗當作是ai/dl領域對於複雜系統的文藝復興，有了這次的實
驗後該思考的是如何解構大腦思維與神經元之間的關聯，讓機器去真正理解物理世界的規
則、建構樹狀空間的複雜語言模型，坦白說，這只是通用人工智慧(agi)的一個開端，打
開這個複雜的盒子後才是黑暗大陸的探索。

剩下的因為太過學術的東西就不再這個版上討論了，有興趣未來可以聊，差不多先醬

--
對，我可能講得不太好，這邊是綜合好幾篇的paper跟自己長年研究nlp的一點小心得，真
的有興趣我覺得可以延伸閱讀，emergent abilities of large language model，這是去
年google research 跟deep mind的綜合成果，裡面也有詳細的實驗。敝人學識淺薄，我
說得不好還請包含~
目前包含google research 那篇(jeff dean也是作者之一)都是從實驗結果驗證出來的，
利用物理跟生物的定律來解釋為什麼量變產生質變、大力出奇蹟有效，不過人類當前對於
複雜系統為什麼會產生質變跟穩定性還有得探究的說，真的要研究嚴謹一點的證明llm可
能還需要再等等。大型語言模型怎麼發生突發演生都能成功解釋的話，那複雜系統問題包
含預測混沌都有解了。
補充一下：我會接受這個觀點主要還是這樣的現象與實驗佐證的合理性很高，而且非
常直覺，可能已經接近解釋llm跟人腦的真相了，否則人類做為地球上的一個物種之一，
為
啥只有人類發生智慧，不太可能是因為有特殊構造比較大的可能是我們的神經元連結發生
了物理意義上的突發演生，這也符合奧卡姆剃刀原理，簡單可能是最接近真相的。
drtech大大別氣，我也沒有否定lecun也沒酸他，就是不贊同他說是歪路而已，但我也認
同他說的當前llm沒有因果推理能力。還有我覺得大大可以重讀一下paper，作者是用big-
benc
h給予測試主要是以em/blue/acc跟模型參數大小為指標研究(後來還有魯棒性就暫時不提
了
)，作者確實有研究loss在附錄中發現一些特定任務在小模型上雖然loss有下降但error r
ate卻沒有反應到下游任務上，當參數量加大突然就獲得了小模型本來不具備的能力，這
個作者定義為湧現能力。(我想是我在原文中因為一次性想說明太多事情所以就直接給了
結論，這樣造成閣下誤會我也跟你道歉)。好好討論就好，不要動不動爆氣喔～
"
"Sentiment(polarity=0.0, subjectivity=0.0)","
今天家族群組裡面有人因為算錯一筆金額, 忽然心血來潮問了一下chatgpt


我責難他,看來結果還是一樣


好聲好氣跟他說絕對不是這樣


或是我請他不要給我他給我的答案


直接請他算一條算是倒是ok


後來我把個數順序換一下也是不盡理想


我想了一下, 是不是500被chatgpt減掉了,我乾脆500不要了


我最後負氣把瀏覽器關掉了

--
"
"Sentiment(polarity=0.0, subjectivity=0.0)","
github 大絕招來了：自動寫程式 ai  copilot 商用版正式推出！



github 商用 ai 程式碼工具 github copilot for business 自去年 12 月起開始展開測試
階段，現在終於正式上市，copilot for business 新增授權管理、組織範圍的策略管理和
其他隱私功能等功能。

github copilot 是 github 與 openai 合作開發的人工智慧工具，使用者在使用 visual s
tudio code、microsoft visual studio、vim 或 jetbrains 整合式開發環境時可以藉由gi
thub copilot 自動補全代碼，每月費用為 19 美元。

github 也宣布，copilot 其 ai 驅動的 copilot 代碼工具由升級的 openai 驅動模型提供
支援，團隊將完善模型並增加新功能。隨著模型的改進，提供新功能「中間填充」，模型不
僅可以完成一行程式碼，還可以在中間直接加入單字。

github 執行長 thomas dohmke 表示，在另外一個模型的幫助下已讓 copilot 能夠辨識模
型的代碼中的常見安全漏洞。找到後，會自動跳轉到更安全的建議。除此之外，希望能讓 c
opilot 速度更快，根據 github 的數據顯示，當 copilot 生成代碼的時間過長時，開發者
很容易變得焦躁不安，速度提升一直是用戶回饋中重要的訴求。

目前已經有超過 400 家組織加入 github copilot for business ，看到業界對工具相當大
的興趣。  dohmke 預計，copilot 很快就能生成開發者 80% 的代碼，chatgpt 可以透過一
個簡單的提示生成整個應用程式或是產品當中的一部分。




--
"
"Sentiment(polarity=0.0, subjectivity=0.0)","


「它將改變世界」 chatgpt獲比爾蓋茲肯定

2023/02/12 07:38


微軟的聯合創辦人比爾蓋茲（bill gates）極度看好chatgpt。（路透）

〔財經頻道／綜合報導〕微軟（microsoft）的聯合創始人比爾蓋茲（bill gates）週五
（10日）接受德國媒體《商報》（handelsblatt）採訪時表示，chatgpt將改變我們的世
界。

綜合媒體報導，比爾蓋茲認為，chatgpt是1款聊天型機器人，它可以對用戶的問題做出驚
似人類的反應，chatgpt可謂是跟網際網路誕生時一樣的重要。

比爾蓋茲表示：「到目前為止，人工智慧（ai）可以讀寫，但無法自己理解其內容，像
chatgpt這樣的新程式，將通過幫助寫發票或信件來提高辦公室工作效率。這將改變我們
的世界。」

據悉，微軟已在bing搜索引擎新版和edge瀏覽器中結合chatgpt。另外，微軟計畫在3月發
布更多ai相關消息，將chatgpt技術整合到word、powerpoint和outlook等office應用程式
中。

由美國ai公司openai開發，並獲得微軟大力支持的chatgpt，目前被評為歷史上成長最快
的消費者應用程式。

--
佛教經典的
是  是菩薩成佛之道
         是 佛經
  是 佛        是 菩薩



--
"
"Sentiment(polarity=0.0, subjectivity=0.0)","
整天就想取代醫生  ....

ai 最多就只能成為醫生的輔助工具而已

除非你能說服  每個被治療的病患可以接受ai誤判

沒有任何一款醫療的ai  可以達到100%的辨識率  誤判是必然的

你的訓練資料 測試資料  正確答案 都是來自於 人類醫生

在某些情況下  人類醫生對於病例 還會出現判斷的分歧


醫生誤診  被病患告上法院
醫生可以用自己的經驗 所學的知識 進行答辯
ai誤判   請問ai有辦法針對自己的誤判進行答辯嗎?
有一部分的ai模型是有可解釋性的
但這些轉換成為法律上的答辯 應該還是有一些難度
另外再收集這些訓練資料的時候
應該是沒有取得醫生願意在法律問題背書的同意


所以 取代醫生前先取代律師吧


對了 法律是為人設計的
ai敗訴的機率  會不會比人類還高呢?

所以ai取代醫生有生之年是不可能的
有些責任 ai扛不住


:
:
:

--

就問你自動化的工廠  完全沒有人了嗎?
是不是還有一堆負責那些自動化設備的人呢
自動化只會是流程的一部分不是全部
自動化產生了什麼會出人命的法律問題?

除非chatgpt願意負責誤判的法律責任
目前你去問chatgpt他會在後最建議你
去諮詢專業醫生

按照你這說法
隨便一個野貓野狗 在網站查一查 跟病人說查到的結果
寫個免責聲明後果自負  就好了  何須ai
所以我才說 最多只能成為醫生的工具


在醫療行業來說
即便ai的正確率高於人類
但ai犯錯的成本更是遠高於人類


你說到一個重點了
ai連車都開不好了  還想取代醫生阿
車正常人都可以開
醫生人人都能當?

再來 扯一下  技術進步的問題
駕駛技術理論上不會隨著時代進步
但醫學技術會

在ai不會自己進步的情況下
也不可能取代醫生

文章意思是ai誤判帶來的損失高於醫生
醫生也會誤判，甚至現在也有一些病例的誤判率 ai<醫生
"
