Result,Sentence,label
"{'words': 157, 'sentences': 22, 'pos': 26, 'neg': 0}","
1. 標的：      

bzfd.us

2. 分類：多/空/討論/心得

討論

3. 分析/正文：

buzzfeed 美國的網路媒體

最近傳出獲得 meta 注資

同時宣佈引入最近 openai 火紅的 chatgpt 去提供內容

盤中一度暴漲到 200%

超級瘋狂

之前 chatgpt 都是一些好玩或者實驗性質

科技公司打算拿 chatgpt 試驗性取代記者了

記者不知道會用什麼樣的心情去寫 buzzfeed(bzfd.us) 的報導 qq



4. 進退場機制：

討論

--
",pos
"{'words': 554, 'sentences': 37, 'pos': 40, 'neg': 6}","
原文標題：

傳chatgpt威脅 google 急call創辦人幫忙

原文連結：

發布時間：2023-01-23

記者署名：林妍溱

原文內容：

媒體報導，感受到openai 的ai服務的威脅，google已要求兩位已退位的創辦人larry
page及sergey brin重新協助監督ai計畫。

紐約時報報導，open ai 去年11月展示對話式ai系統chatgpt，在google內部投下震撼彈
，google暨alphabet執行長sundar pichai並宣佈「紅色警戒」，要求加速ai服務及技術
的開發，以確保google對話式ai模型 lamda的領先地位。pichai力邀下，page及brin去年
底回到google監督ai新服務的推行計畫。

page與brin自2019年從行政職退下後，就把一些google日常業務管理工作交給pichai後就
鮮少過問。他們主要著重在自己開發新事業推動，例如page的飛天車公司，如果到google
則多半是討論新創業務（others business）。

但消息人士指出，兩人對ai十分有興趣，上個月也已看過google ai預計在今年5月
google i/o大會上公佈的ai服務。消息人士透露，軟體巨人已經規劃了將近20項ai相關服
務，包括建立和編輯圖片的generation studio、供用戶體驗ai技術的ai test kitchen
app第3版、虛擬購物試穿、youtube綠幕功能、製作pixel手機桌布、虛擬3d試鞋功能maya
、以ai做影片簡介，還有提供給軟體開發人員和企業ai工具，像是建立圖片的google
cloud服務、可在瀏覽器環境下製作ai原型的markersuite、以及2款協助撰寫android手機
應用程式的工具，包括colab + android studio及palm-coder 2等。

在景氣不明、成長趨緩的危機下，google上周宣佈裁員1.2萬人，pichai的公開談話也說
明，ai將是該公司的策略成長業務。

心得/評論：

隨著傳出微軟加大對 openai 百億美元的投資

以及要在多項業務上面整合 chatgpt

為了避免 chatgpt 成為 google 老本行搜尋引擎的破口

google 這邊也坐不住了

不過我個人還是很看好 google 在 ai 領域的實力

有在關注相關 ai 會議的 google 一直都是這個領域頂尖產出的機構之一

google research 養了這麼多頂尖 ai 的學者/工程師絕對不是吃素的

--
",pos
"{'words': 1682, 'sentences': 149, 'pos': 511, 'neg': 6}","
原文標題：

    ai聊天機器人chatgpt可望成就nvidia 但挫傷另外兩檔股票

原文連結：

    

發布時間：

    2023/01/19 10:07

記者署名：

    鉅亨網編譯許家華2023/01/19 10:07

原文內容：

華爾街分析師認為，人工智慧聊天機器人 chatgpt 為 nvidia (nvda-us) 的投資者帶來
紮實機會，但對 chegg (chgg-us) 和谷歌來說卻是壞消息。

openai 公司 2022 年推出 chatgpt，暴風般襲擊人工智慧產業，2019 年就投資 openai
公司的微軟 (msft-us) 周一表示，將透過其雲端託管工具 azure openai service，讓更
多顧客可接觸使用該機器人。

據多家媒體報導，微軟計劃將該工具整合到其 bing 搜索引擎中，對 alphabet
(googl-us) 旗下的谷歌構成潛在挑戰。

華爾街分析師表示，chatgpt 也對教育技術公司 chegg (chgg-us) 構成威脅。然而，花
旗集團認為，nvidia 可能因該機器人大熱門而受益，因其圖形處理器 (gpu) 用於訓練和
運作 chatgpt。


花旗分析師 atif malik 周二 (17 日) 寫道，chatgpt 服務開始運作的頭 12 個月，可
望為 nvidia 產生 30 億至 110 億美元的銷售商機。他重申對 nvidia 股票的「買進」
評級，目標價 210 美元。

nvidia 周三下跌 1.84%，收每股 173.77 美元，而 s&p 500 指數同日收低 1.56%。
nvidia 拒絕對花旗的預期報告置評，因處在下個月發布財報前的緘默期。

bmo 資本市場分析師 jeffrey silber 周三寫道，雖然現在論斷 chatgpt 對 chegg 的影
響程度還太早，但該公司第四季美國網路流量一直在減少，其財務長 andrew brown 表示
：「雖然 chatgpt 技術特別好，但老實說，現在還不到處理更複雜數學問題的強大程度
，而這正是我們要做的核心。」

chegg 發言人表示，公司不認為 chatgpt 會對公司業務產生重大影響，「那不是專為教
學工具設計的。」

根據 factset ，chegg 預定 2 月 6 日發布第四季財報，其周三股價重挫 16.61%，收每
股 20.38 美元。silber 給予該股「符合市場表現」的評級，相當於「中立」，目標價
30 美元。

truist 分析師 youssef squali 周三報告指出，chatgpt 對谷歌的潛在衝擊最明顯。「
以 chatgpt 目前形式，短期內不太可能對谷歌搜尋業務構成重大威脅，因其設計並非旨
在解決商業性質的查詢。但 chatgpt 的功能可能與微軟的 bing 結合，應可幫助微軟奪
回一些市占。」

alphabet 沒有回應置評請求。

alphabet 周三下跌 0.19%，收每股 91.12 美元；微軟同日收低 1.89% 至每股 235.81
美元。squali 給予 alphabet 股票「買進」評級，目標價 130 美元，較現行股價隱含漲
幅 42%。

特斯拉執行長馬斯克 (elon musk) 曾大讚 chatgpt 「好到嚇死人」，可想而知，長期下
來對股價的影響力可能相當巨大。


心得/評論：

   開年以來 nvda 差不多反彈了30% 有...從低點 11x 附近算也超過八成了。
   整理一下最近的財報:


         2020                 2021                        2022
         q2     q3     q4     q1     q2     q3     q4     q1     q2     q3
revenue  3.86b  4.73b  5b     5.6b   6.5b   7.1b   7.6b   8.28b  6.7b   5.93b
毛利     58.8%  62.6%  63.1   64.1%  64.8%  65.2%  65.4%  65.5%  43.7%  56.1%
淨利     0.62b  1.34b  1.46b  1.9b   2.37b  2.45b  3b     1.61b  0.65b  0.68b
eps(usd):0.99   2.12   2.31   0.75   0.94   0.97   1.18   0.64   0.26   0.27


        營收(yoy)-

         1. gaming                    : 1.57  b (-51%)
         2. datacenter                : 3.83  b (+31%)
         3. professional visualization: 0.2   b (-65%)
         4. auto                      : 0.25  b (+86%)

下一季老黃給的outlook是營收6b，gross margin 回升到66% (non-gaap).
可以預期車用在各家電動車成長下營收會持續拉高。最有話題和機會的莫過
於去年底 openai 發表的聊天機器人 chatgpt...
當時小弟的臉書被狂刷一波朋友們測試這個 chat bot 所餵的各種問題，
小試一下之後覺得真的頗強der
除了滑鼠和飛鼠可能搞不清楚外(xd)，對問題語意的理解程度頗高，可以說基本的
算數、邏輯、詢答，甚至程式和debug 都可以搞定....

綜合大家的一些評論，chatgpt 在各種問題詢答或文章生成已經具備堪用
甚至""有點""實用的階段。

chatgpt 的運作原理是利用海量文章資料建立模型，模型建立後，根據輸入的
問題去""生成""文章。下一代 gpt-4 的模型所使用的參數，將會遠遠大過目前的
gpt-3。

老實說我們不用去太深入研究r，training 這塊其實是老黃的禁臠拉 qq""
未來微軟打算在 bing  導入chatgpt，谷歌也不會坐以待斃，
講來講去，受惠的都會是老黃，ㄎㄎ

最後，nvda股價已經先反映了...
g 最後一棒宣布 layoff 之後，faang 只剩阿婆還沒裁員了，
阿婆勉強算是個硬體或是系統廠，跟另外已經裁員的四家純軟or網路公司
不太一樣，這波裁員潮，純軟明顯受傷較重，幫qq""

市場也許利空出盡，會走一波反彈，之後就看真槍實彈的財報惹~~

ps. 個人看法，盈虧自負。兔年困霸數錢數到兔~~


--
",pos
"{'words': 565, 'sentences': 47, 'pos': 65, 'neg': 2}","
原文標題：

看好chatgpt改寫產業規則！微軟擬對openai再加碼投資百億美元

原文連結：

發布時間：2023.01.12

記者署名：傅珮晴

原文內容：

知情人士稱，微軟公司正在展開談判，準備向爆紅聊天機器人 chatgpt 的開發商

openai 投資 100 億美元。自上個月發佈以來，chatgpt 已經令普通使用者和人工智慧專
家興奮不已。微軟之前已經向 openai 投資了 10 億美元。

微軟要加碼投資 openai

知情人士透露，此次融資還將包括其他風投公司，算上新投資後對 openai 的估值將達
到 290 億美元。目前尚不清楚該交易是否已經敲定，但 openai 最近幾週發給潛在投資
者概述其條款的檔案顯示，該融資交易的目標是在 2022 年底前完成。

微軟的注資將是這筆複雜交易的一部分。在收回投資之前，微軟將獲得 openai 75% 的利
潤。目前還不清楚 openai 花在微軟雲端運算部門上的錢是否會計入微軟的利潤中。

在微軟收回投資後，交易將恢復到一種反映 openai 所有權的結構，其中微軟持有 49%
的股份，其他投資者持有另外 49% 股份，openai 的非營利母公司獲得 2% 股份。每個投
資者都有一個不同的利潤上限，這在風險投資中並不常見。風險投資者往往希望獲得 20
或 30 倍的回報。

具體條款和投資金額可能會發生變化，交易也可能會破裂。對於 openai 來說，290 億美
元是一個很高的估值，畢竟這家公司還沒有找到自己的商業模式，而 100 億美元對微軟
的股東來說是一個很高的投資額。

上週有報導稱，openai 將允許其員工和早期投資者以 290 億美元的估值出售他們的股票
。微軟據稱已準備將 chatgpt 背後的人工智慧技術整合到必應搜尋和 office 套件中。

心得/評論：

過去幾十年搜尋引擎早就被 google 壟斷的牢牢的
後進者如微軟 bing 很難在技術上找到突破口

chatgpt 暴紅後也有傳出微軟會在各個場景去串接 chatgpt
現在更傳出會再加碼百億美金投資 openai

chatgpt 已經有看到文組的拿來輔助做課堂報告
這東西搞不好真的有機會成為突破口




研究一下 openai 的背景
co-founder 怎麼又有 elon musk
真的鐵人 =.=

--
",pos
"{'words': 229, 'sentences': 23, 'pos': 5, 'neg': 2}","

原文標題：
美國一企業利用chatgpt創造了兩名人工智慧實習生

原文連結：


發布時間：
2023/01/15 14:30

記者署名：
鉅亨網轉載(abc新聞)

原文內容：

1月15日消息，數位行銷公司codeword創造了兩名人工智慧實習生，分別在編輯和工程部
門工作。

codeword創始人kyle monson表示，chatgpt可以自學理解人類的問題，在網路上
搜尋相關資訊，並給出一個易懂的答案。因此公司決定使用這種技術來創造兩名人工智慧
實習生，分別取名aiden和aiko。

目前人工智慧實習生的工作不會被客戶直接看到，因為
他們還可能會犯令人尷尬的錯誤。(abc新聞)


心得/評論：
上週已傳出m$已經預計要對openai投資100億美元
陸續看到消息討論到各企業對chatgpt感到興趣
比較好奇的是現在死也打不進去的客服電話甚麼時候要採用?
musk當初投資openai卻又放棄真的太可惜了...



--
",pos
"{'words': 711, 'sentences': 52, 'pos': 19, 'neg': 6}","
原文標題：

微軟bing一旦結合chatgpt，將給谷歌搜尋帶來十年一遇的威脅

原文連結：



發布時間：

2023.1.9

記者署名：

茋郁

原文內容：

許多專家表示，openai的chatgpt自然語言聊天機器人與微軟的bing搜索引擎相結合在一
起，將是20年來對谷歌搜索霸權的第一次真正威脅。

在過去的幾個月裡，科技巨頭的牛市正面臨結束的命運。未來隨著利率飆升，即使是現金
充裕的科技公司也會在資金緊俏的前提下，開始撤回高風險、昂貴的登月計劃或虧損專案
。

可是微軟於2019年向熱門的ai研究機構openai投資了10億美元，2022年11月chapgpt的誕
生，被許多專家評為足以與谷歌的智慧聊天機器人lamda相匹敵。

現在openai正在與founders fund討論籌集更多資金，讓其市值從原本的200億上升至290
億美元。此外，隨著籌款工作進度的推進，openai還與微軟達成了一項協議，將把
chatgpt整合到bing搜索引擎中，為查詢提供更多的對話和上下文響應做準備。

然而，在bing上添加chatgpt的時間表尚不清楚，因為openai正在檢查聊天機器人的準確
性以及將其整合到bing中需要多長時間做研究。不過，根據推測，其很可能會在2023年3
月底之前完成。

基本上，chatgpt允許用戶能夠獲得從基本查詢到假設情況等所有問題的智慧答案，不過
，這需要大量的運算能力來訓練其演算法、投資和股票銷售。雖然chatgpt聊天機器人因
其速度和處理複雜問題而受到讚譽，但openai仍認為其還有很長的路要走。

根據推算openai預計到2024年其年營收將達到10億美元。投資銀行da davidson預計，隨
著2023年晚些時候推出其下一代人工智慧模型的openai之gpt 4之後，其營收將會顯著提
高。

以目前，bing獲得了大約9%的搜索引擎流量，而谷歌以83%的佔有率佔據主導地位的情形
來看，未來只要bing的佔有率不斷爬升，對其事業的幫助將變得很大，也將打破谷歌長期
在搜索引擎的地位。

雖然谷歌每年從搜索中獲得營運收入為1200億美元，但卻是谷歌市值1.1兆美元的主要動
力，而bing的營運收入約為110億美元，最多只佔微軟營收和價值 5%而已。從長遠來看，
da davidson認為將chatgpt功能整合到bing中可能會為微軟提供十年一次的機會來取代谷
歌的搜索主導地位。

相比之下，谷歌在2014年收購了總部位於倫敦的deepmind，且其收購大多是處於虧損狀態
，因為其營運成本很高。deepmind每年僅在人員成本上就花費大約50億美元，未來谷歌如
何強化效率將成為關鍵。

此外，如果微軟最終採用chatgpt或採取更積極手法收購openai，這將為兩家公司在ai領
域和搜尋引擎的競爭帶來更多可看性。


心得/評論：

微軟bing若能成功與chatgpt結合，可能打破google長期壟斷搜尋引擎的局面，google也
可能面臨收入上的考驗。

--
",pos
"{'words': 157, 'sentences': 22, 'pos': 26, 'neg': 0}","
1. 標的：      

bzfd.us

2. 分類：多/空/討論/心得

討論

3. 分析/正文：

buzzfeed 美國的網路媒體

最近傳出獲得 meta 注資

同時宣佈引入最近 openai 火紅的 chatgpt 去提供內容

盤中一度暴漲到 200%

超級瘋狂

之前 chatgpt 都是一些好玩或者實驗性質

科技公司打算拿 chatgpt 試驗性取代記者了

記者不知道會用什麼樣的心情去寫 buzzfeed(bzfd.us) 的報導 qq



4. 進退場機制：

討論

--
",pos
"{'words': 554, 'sentences': 37, 'pos': 40, 'neg': 6}","
原文標題：

傳chatgpt威脅 google 急call創辦人幫忙

原文連結：

發布時間：2023-01-23

記者署名：林妍溱

原文內容：

媒體報導，感受到openai 的ai服務的威脅，google已要求兩位已退位的創辦人larry
page及sergey brin重新協助監督ai計畫。

紐約時報報導，open ai 去年11月展示對話式ai系統chatgpt，在google內部投下震撼彈
，google暨alphabet執行長sundar pichai並宣佈「紅色警戒」，要求加速ai服務及技術
的開發，以確保google對話式ai模型 lamda的領先地位。pichai力邀下，page及brin去年
底回到google監督ai新服務的推行計畫。

page與brin自2019年從行政職退下後，就把一些google日常業務管理工作交給pichai後就
鮮少過問。他們主要著重在自己開發新事業推動，例如page的飛天車公司，如果到google
則多半是討論新創業務（others business）。

但消息人士指出，兩人對ai十分有興趣，上個月也已看過google ai預計在今年5月
google i/o大會上公佈的ai服務。消息人士透露，軟體巨人已經規劃了將近20項ai相關服
務，包括建立和編輯圖片的generation studio、供用戶體驗ai技術的ai test kitchen
app第3版、虛擬購物試穿、youtube綠幕功能、製作pixel手機桌布、虛擬3d試鞋功能maya
、以ai做影片簡介，還有提供給軟體開發人員和企業ai工具，像是建立圖片的google
cloud服務、可在瀏覽器環境下製作ai原型的markersuite、以及2款協助撰寫android手機
應用程式的工具，包括colab + android studio及palm-coder 2等。

在景氣不明、成長趨緩的危機下，google上周宣佈裁員1.2萬人，pichai的公開談話也說
明，ai將是該公司的策略成長業務。

心得/評論：

隨著傳出微軟加大對 openai 百億美元的投資

以及要在多項業務上面整合 chatgpt

為了避免 chatgpt 成為 google 老本行搜尋引擎的破口

google 這邊也坐不住了

不過我個人還是很看好 google 在 ai 領域的實力

有在關注相關 ai 會議的 google 一直都是這個領域頂尖產出的機構之一

google research 養了這麼多頂尖 ai 的學者/工程師絕對不是吃素的

--
",pos
"{'words': 1682, 'sentences': 149, 'pos': 511, 'neg': 6}","
原文標題：

    ai聊天機器人chatgpt可望成就nvidia 但挫傷另外兩檔股票

原文連結：

    

發布時間：

    2023/01/19 10:07

記者署名：

    鉅亨網編譯許家華2023/01/19 10:07

原文內容：

華爾街分析師認為，人工智慧聊天機器人 chatgpt 為 nvidia (nvda-us) 的投資者帶來
紮實機會，但對 chegg (chgg-us) 和谷歌來說卻是壞消息。

openai 公司 2022 年推出 chatgpt，暴風般襲擊人工智慧產業，2019 年就投資 openai
公司的微軟 (msft-us) 周一表示，將透過其雲端託管工具 azure openai service，讓更
多顧客可接觸使用該機器人。

據多家媒體報導，微軟計劃將該工具整合到其 bing 搜索引擎中，對 alphabet
(googl-us) 旗下的谷歌構成潛在挑戰。

華爾街分析師表示，chatgpt 也對教育技術公司 chegg (chgg-us) 構成威脅。然而，花
旗集團認為，nvidia 可能因該機器人大熱門而受益，因其圖形處理器 (gpu) 用於訓練和
運作 chatgpt。


花旗分析師 atif malik 周二 (17 日) 寫道，chatgpt 服務開始運作的頭 12 個月，可
望為 nvidia 產生 30 億至 110 億美元的銷售商機。他重申對 nvidia 股票的「買進」
評級，目標價 210 美元。

nvidia 周三下跌 1.84%，收每股 173.77 美元，而 s&p 500 指數同日收低 1.56%。
nvidia 拒絕對花旗的預期報告置評，因處在下個月發布財報前的緘默期。

bmo 資本市場分析師 jeffrey silber 周三寫道，雖然現在論斷 chatgpt 對 chegg 的影
響程度還太早，但該公司第四季美國網路流量一直在減少，其財務長 andrew brown 表示
：「雖然 chatgpt 技術特別好，但老實說，現在還不到處理更複雜數學問題的強大程度
，而這正是我們要做的核心。」

chegg 發言人表示，公司不認為 chatgpt 會對公司業務產生重大影響，「那不是專為教
學工具設計的。」

根據 factset ，chegg 預定 2 月 6 日發布第四季財報，其周三股價重挫 16.61%，收每
股 20.38 美元。silber 給予該股「符合市場表現」的評級，相當於「中立」，目標價
30 美元。

truist 分析師 youssef squali 周三報告指出，chatgpt 對谷歌的潛在衝擊最明顯。「
以 chatgpt 目前形式，短期內不太可能對谷歌搜尋業務構成重大威脅，因其設計並非旨
在解決商業性質的查詢。但 chatgpt 的功能可能與微軟的 bing 結合，應可幫助微軟奪
回一些市占。」

alphabet 沒有回應置評請求。

alphabet 周三下跌 0.19%，收每股 91.12 美元；微軟同日收低 1.89% 至每股 235.81
美元。squali 給予 alphabet 股票「買進」評級，目標價 130 美元，較現行股價隱含漲
幅 42%。

特斯拉執行長馬斯克 (elon musk) 曾大讚 chatgpt 「好到嚇死人」，可想而知，長期下
來對股價的影響力可能相當巨大。


心得/評論：

   開年以來 nvda 差不多反彈了30% 有...從低點 11x 附近算也超過八成了。
   整理一下最近的財報:


         2020                 2021                        2022
         q2     q3     q4     q1     q2     q3     q4     q1     q2     q3
revenue  3.86b  4.73b  5b     5.6b   6.5b   7.1b   7.6b   8.28b  6.7b   5.93b
毛利     58.8%  62.6%  63.1   64.1%  64.8%  65.2%  65.4%  65.5%  43.7%  56.1%
淨利     0.62b  1.34b  1.46b  1.9b   2.37b  2.45b  3b     1.61b  0.65b  0.68b
eps(usd):0.99   2.12   2.31   0.75   0.94   0.97   1.18   0.64   0.26   0.27


        營收(yoy)-

         1. gaming                    : 1.57  b (-51%)
         2. datacenter                : 3.83  b (+31%)
         3. professional visualization: 0.2   b (-65%)
         4. auto                      : 0.25  b (+86%)

下一季老黃給的outlook是營收6b，gross margin 回升到66% (non-gaap).
可以預期車用在各家電動車成長下營收會持續拉高。最有話題和機會的莫過
於去年底 openai 發表的聊天機器人 chatgpt...
當時小弟的臉書被狂刷一波朋友們測試這個 chat bot 所餵的各種問題，
小試一下之後覺得真的頗強der
除了滑鼠和飛鼠可能搞不清楚外(xd)，對問題語意的理解程度頗高，可以說基本的
算數、邏輯、詢答，甚至程式和debug 都可以搞定....

綜合大家的一些評論，chatgpt 在各種問題詢答或文章生成已經具備堪用
甚至""有點""實用的階段。

chatgpt 的運作原理是利用海量文章資料建立模型，模型建立後，根據輸入的
問題去""生成""文章。下一代 gpt-4 的模型所使用的參數，將會遠遠大過目前的
gpt-3。

老實說我們不用去太深入研究r，training 這塊其實是老黃的禁臠拉 qq""
未來微軟打算在 bing  導入chatgpt，谷歌也不會坐以待斃，
講來講去，受惠的都會是老黃，ㄎㄎ

最後，nvda股價已經先反映了...
g 最後一棒宣布 layoff 之後，faang 只剩阿婆還沒裁員了，
阿婆勉強算是個硬體或是系統廠，跟另外已經裁員的四家純軟or網路公司
不太一樣，這波裁員潮，純軟明顯受傷較重，幫qq""

市場也許利空出盡，會走一波反彈，之後就看真槍實彈的財報惹~~

ps. 個人看法，盈虧自負。兔年困霸數錢數到兔~~


--
",pos
"{'words': 565, 'sentences': 47, 'pos': 65, 'neg': 2}","
原文標題：

看好chatgpt改寫產業規則！微軟擬對openai再加碼投資百億美元

原文連結：

發布時間：2023.01.12

記者署名：傅珮晴

原文內容：

知情人士稱，微軟公司正在展開談判，準備向爆紅聊天機器人 chatgpt 的開發商

openai 投資 100 億美元。自上個月發佈以來，chatgpt 已經令普通使用者和人工智慧專
家興奮不已。微軟之前已經向 openai 投資了 10 億美元。

微軟要加碼投資 openai

知情人士透露，此次融資還將包括其他風投公司，算上新投資後對 openai 的估值將達
到 290 億美元。目前尚不清楚該交易是否已經敲定，但 openai 最近幾週發給潛在投資
者概述其條款的檔案顯示，該融資交易的目標是在 2022 年底前完成。

微軟的注資將是這筆複雜交易的一部分。在收回投資之前，微軟將獲得 openai 75% 的利
潤。目前還不清楚 openai 花在微軟雲端運算部門上的錢是否會計入微軟的利潤中。

在微軟收回投資後，交易將恢復到一種反映 openai 所有權的結構，其中微軟持有 49%
的股份，其他投資者持有另外 49% 股份，openai 的非營利母公司獲得 2% 股份。每個投
資者都有一個不同的利潤上限，這在風險投資中並不常見。風險投資者往往希望獲得 20
或 30 倍的回報。

具體條款和投資金額可能會發生變化，交易也可能會破裂。對於 openai 來說，290 億美
元是一個很高的估值，畢竟這家公司還沒有找到自己的商業模式，而 100 億美元對微軟
的股東來說是一個很高的投資額。

上週有報導稱，openai 將允許其員工和早期投資者以 290 億美元的估值出售他們的股票
。微軟據稱已準備將 chatgpt 背後的人工智慧技術整合到必應搜尋和 office 套件中。

心得/評論：

過去幾十年搜尋引擎早就被 google 壟斷的牢牢的
後進者如微軟 bing 很難在技術上找到突破口

chatgpt 暴紅後也有傳出微軟會在各個場景去串接 chatgpt
現在更傳出會再加碼百億美金投資 openai

chatgpt 已經有看到文組的拿來輔助做課堂報告
這東西搞不好真的有機會成為突破口




研究一下 openai 的背景
co-founder 怎麼又有 elon musk
真的鐵人 =.=

--
",pos
